  K    WAVELN    NEFF       GEOM ALB   BOND/QFIT  BOND/GEOM  Q-FITTED
 120  0.4100330    0.0702488    0.7498270    0.5117394    1.3055310    1.9129315
 121  0.4105790    0.0711299    0.7499724    0.5119179    1.3053120    1.9123142
 122  0.4111260    0.0720125    0.7501757    0.5121330    1.3050849    1.9116967
 123  0.4116730    0.0728952    0.7503345    0.5123199    1.3048639    1.9110801
 124  0.4122210    0.0734229    0.7504882    0.5125043    1.3046448    1.9104633
 125  0.4127700    0.0734229    0.7506343    0.5126846    1.3044286    1.9098464
 126  0.4133190    0.0734229    0.7507998    0.5128752    1.3042051    1.9092303
 127  0.4138690    0.0734229    0.7508892    0.5130254    1.3040107    1.9086141
 128  0.4144200    0.0737618    0.7510116    0.5131933    1.3038035    1.9079976
 129  0.4149720    0.0742072    0.7512530    0.5134246    1.3035508    1.9073810
 130  0.4155240    0.0746525    0.7513737    0.5135917    1.3033445    1.9067653
 131  0.4160770    0.0750366    0.7499288    0.5129202    1.3037271    1.9061495
 132  0.4166310    0.0750366    0.7513133    0.5137649    1.3030465    1.9055334
 133  0.4171860    0.0751867    0.7518015    0.5141282    1.3026999    1.9049172
 134  0.4177410    0.0756345    0.7519276    0.5142984    1.3024915    1.9043019
 135  0.4182970    0.0760831    0.7521953    0.5145442    1.3022293    1.9036864
 136  0.4188540    0.0765325    0.7522340    0.5146609    1.3020366    1.9030708
 137  0.4194120    0.0766503    0.7522898    0.5147825    1.3018262    1.9024550
 138  0.4199700    0.0766503    0.7523952    0.5149331    1.3016039    1.9018402
 139  0.4205290    0.0770771    0.7526009    0.5151508    1.3013771    1.9012251
 140  0.4210890    0.0775289    0.7528448    0.5153929    1.3011457    1.9006100
 141  0.4216500    0.0779816    0.7531227    0.5156583    1.3009142    1.8999947
 142  0.4222110    0.0782640    0.7532761    0.5158435    1.3006958    1.8993803
 143  0.4227730    0.0782640    0.7534253    0.5160266    1.3004789    1.8987658
 144  0.4233360    0.0782640    0.7534560    0.5161463    1.3003064    1.8981511
 145  0.4238990    0.0782640    0.7533424    0.5161884    1.3001881    1.8975374
 146  0.4244630    0.0782640    0.7538107    0.5165428    1.2998519    1.8969235
 147  0.4250290    0.0782874    0.7537712    0.5166251    1.2997054    1.8963084
 148  0.4255940    0.0787432    0.7539715    0.5168358    1.2994698    1.8956954
 149  0.4261610    0.0790708    0.7540416    0.5169762    1.2992810    1.8950811
 150  0.4267280    0.0790708    0.7545232    0.5173375    1.2989386    1.8944678
 151  0.4272960    0.0793097    0.7543889    0.5173677    1.2988250    1.8938543
 152  0.4278650    0.0797687    0.7548266    0.5177058    1.2984992    1.8932408
 153  0.4284350    0.0802287    0.7550498    0.5179286    1.2982530    1.8926271
 154  0.4290050    0.0806805    0.7552827    0.5181566    1.2980037    1.8920144
 155  0.4295760    0.0802198    0.7554163    0.5183313    1.2977911    1.8914015
 156  0.4301480    0.0798777    0.7556346    0.5185487    1.2975397    1.8907886
 157  0.4307200    0.0798777    0.7558558    0.5187736    1.2973027    1.8901766
 158  0.4312940    0.0805893    0.7560141    0.5189585    1.2970722    1.8895634
 159  0.4318680    0.0819787    0.7561864    0.5191518    1.2968396    1.8889512
 160  0.4324430    0.0826556    0.7563337    0.5193310    1.2966141    1.8883389
 161  0.4330180    0.0830905    0.7564766    0.5195068    1.2963881    1.8877275
 162  0.4335950    0.0826250    0.7565903    0.5196640    1.2961648    1.8871150
 163  0.4341720    0.0825758    0.7567317    0.5198391    1.2959392    1.8865035
 164  0.4347500    0.0835085    0.7569214    0.5200457    1.2957091    1.8858919
 165  0.4353290    0.0841774    0.7571011    0.5202456    1.2954792    1.8852801
 166  0.4359080    0.0846445    0.7571239    0.5203567    1.2952970    1.8846694
 167  0.4364890    0.0847187    0.7572976    0.5205438    1.2950449    1.8840575
 168  0.4370700    0.0848317    0.7574709    0.5207386    1.2948132    1.8834466
 169  0.4376510    0.0857693    0.7576545    0.5209486    1.2946023    1.8828367
 170  0.4382340    0.0861436    0.7580203    0.5212620    1.2943355    1.8822256
 171  0.4388170    0.0856732    0.7580037    0.5213613    1.2941909    1.8816155
 172  0.4394020    0.0861743    0.7581806    0.5215379    1.2939068    1.8810043
 173  0.4399860    0.0871167    0.7577092    0.5213211    1.2937546    1.8803951
 174  0.4405720    0.0871393    0.7567767    0.5208428    1.2937402    1.8797848
 175  0.4411590    0.0872676    0.7569728    0.5210218    1.2934293    1.8791745
 176  0.4417460    0.0877412    0.7573636    0.5213686    1.2932031    1.8785651
 177  0.4423340    0.0882156    0.7580978    0.5219294    1.2929207    1.8779557
 178  0.4429230    0.0886908    0.7589502    0.5225529    1.2925917    1.8773462
 179  0.4435120    0.0891661    0.7595160    0.5229987    1.2923116    1.8767377
 180  0.4441030    0.0896429    0.7598542    0.5233052    1.2920738    1.8761282
 181  0.4446940    0.0901198    0.7598878    0.5234428    1.2919369    1.8755196
 182  0.4452860    0.0901359    0.7602352    0.5237383    1.2916565    1.8749110
 183  0.4458790    0.0896574    0.7604472    0.5239606    1.2914251    1.8743023
 184  0.4464720    0.0903215    0.7602872    0.5239798    1.2913254    1.8736946
 185  0.4470670    0.0911735    0.7608026    0.5243681    1.2909873    1.8730859
 186  0.4476620    0.0911735    0.7609555    0.5245585    1.2907776    1.8724781
 187  0.4482580    0.0913817    0.7610897    0.5247388    1.2905745    1.8718703
 188  0.4488540    0.0918626    0.7611940    0.5249027    1.2903823    1.8712636
 189  0.4494520    0.0923450    0.7613724    0.5251074    1.2901640    1.8706557
 190  0.4500500    0.0928275    0.7614620    0.5252606    1.2899699    1.8700489
 191  0.4506490    0.0933108    0.7615936    0.5254383    1.2897646    1.8694421
 192  0.4512490    0.0937949    0.7617031    0.5256043    1.2895677    1.8688352
 193  0.4518500    0.0942799    0.7618001    0.5257631    1.2893744    1.8682283
 194  0.4524510    0.0944009    0.7619053    0.5259270    1.2891798    1.8676224
 195  0.4530540    0.0944880    0.7619966    0.5260813    1.2889846    1.8670156
 196  0.4536570    0.0954611    0.7621152    0.5262480    1.2887742    1.8664097
 197  0.4542610    0.0960146    0.7621738    0.5263834    1.2885882    1.8658038
 198  0.4548650    0.0960146    0.7622964    0.5265539    1.2883803    1.8651989
 199  0.4554710    0.0963946    0.7624088    0.5267210    1.2881808    1.8645930
 200  0.4560770    0.0968835    0.7624735    0.5268604    1.2879944    1.8639881
 201  0.4566840    0.0973733    0.7622163    0.5268201    1.2879122    1.8633832
 202  0.4572920    0.0978639    0.7625949    0.5271275    1.2876060    1.8627784
 203  0.4579010    0.0983552    0.7625881    0.5272184    1.2874213    1.8621735
 204  0.4585100    0.0984351    0.7623813    0.5271843    1.2872696    1.8615697
 205  0.4591210    0.0985327    0.7622696    0.5272016    1.2870821    1.8609649
 206  0.4597320    0.0990257    0.7622425    0.5272803    1.2869025    1.8603611
 207  0.4603440    0.0995195    0.7627888    0.5277288    1.2866570    1.8597573
 208  0.4609570    0.1000141    0.7633539    0.5281921    1.2864153    1.8591535
 209  0.4615700    0.1005087    0.7637601    0.5285502    1.2861858    1.8585508
 210  0.4621850    0.1010049    0.7640541    0.5288372    1.2859713    1.8579471
 211  0.4628000    0.1015011    0.7642451    0.5290573    1.2857678    1.8573445
 212  0.4634160    0.1019981    0.7643399    0.5292158    1.2855761    1.8567418
