# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.09 2.3661e-29    104.47 0 
   103.99 3.8705e-29    106.41 0 
   105.92 6.3898e-29    108.39 0 
   107.89 1.0695e-28    110.41 0 
   109.90 1.9994e-28    112.46 0 
   114.02 4.7240e-28    116.68 0 
   118.03 1.0203e-27    120.78 0 
   121.06 5.5244e-27    123.88 0 
   125.03 1.0634e-26    127.94 0 
   127.06 1.4106e-26    130.02 0 
   127.94 1.6530e-26    130.92 0 
   130.92 2.4595e-26    133.97 0 
   132.13 3.2112e-26    135.21 0 
   133.97 4.0964e-26    137.09 0 
   137.09 6.8540e-26    140.28 0 
   139.96 9.7169e-26    143.22 0 
   142.89 3.4762e-25    146.22 0 
   146.89 1.2065e-24    150.31 0 
   151.01 1.7697e-24    154.53 0 
   154.88 2.5903e-24    158.49 0 
   158.85 3.7823e-24    162.55 0 
   162.18 4.9235e-24    165.96 0 
   165.96 7.0261e-24    169.82 0 
   169.82 9.6638e-24    173.78 0 
   172.98 1.2294e-23    177.01 0 
   177.01 1.6561e-23    181.13 0 
   179.89 2.0543e-23    184.08 0 
   181.97 2.3679e-23    186.21 0 
   186.21 3.1170e-23    190.55 0 
   190.98 4.3254e-23    195.43 0 
   194.09 5.2792e-23    198.61 0 
   198.15 6.7138e-23    202.77 0 
   201.84 8.5393e-23    206.54 0 
   205.12 1.0161e-22    209.89 0 
   209.89 1.2771e-22    214.78 0 
   215.77 1.8380e-22    220.80 0 
   219.78 2.2634e-22    224.91 0 
   222.84 2.5960e-22    228.03 0 
   226.99 3.1746e-22    232.27 0 
   230.14 5.3729e-22    235.50 0 
   233.88 9.7197e-22    239.33 0 
   239.88 1.4885e-21    245.47 0 
   246.04 1.7133e-21    251.77 0 
   251.77 2.2181e-21    257.63 0 
   257.04 2.1887e-21    263.03 0 
   260.01 2.7653e-21    266.07 0 
   264.24 3.2667e-21    270.40 0 
   269.15 3.7702e-21    275.42 0 
   274.16 4.3015e-21    280.54 0 
   279.25 4.8848e-21    285.76 0 
   283.79 5.5739e-21    290.40 0 
   289.73 6.1697e-21    296.48 0 
   295.80 7.2003e-21    302.69 0 
   301.30 7.9162e-21    308.32 0 
   308.32 9.3638e-21    315.50 0 
   317.69 1.1723e-20    325.09 0 
   328.09 1.4238e-20    335.74 0 
   338.06 1.6901e-20    345.94 0 
   348.34 1.9786e-20    356.45 0 
   357.27 2.2960e-20    365.59 0 
   365.59 2.6773e-20    374.11 0 
   374.97 3.0217e-20    383.71 0 
   384.59 3.3248e-20    393.55 0 
   395.36 3.9274e-20    404.58 0 
   404.57 4.4944e-20    414.00 0 
   414.00 4.9569e-20    423.64 0 
   421.69 5.3212e-20    431.52 0 
   429.53 5.7384e-20    439.54 0 
   440.55 6.4873e-20    450.82 0 
   450.81 7.0706e-20    461.32 0 
   460.25 7.5505e-20    470.98 0 
   469.89 8.2122e-20    480.84 0 
   479.73 8.9930e-20    490.91 0 
   489.78 9.5130e-20    501.19 0 
   500.03 1.0464e-19    511.68 0 
   505.82 1.1111e-19    517.61 0 
   511.68 1.5916e-19    523.60 0 
   519.99 1.7120e-19    532.11 0 
   529.66 1.8619e-19    542.00 0 
   539.51 1.9160e-19    552.08 0 
   549.54 2.4591e-19    562.34 0 
   559.75 2.9521e-19    572.80 0 
   570.16 3.4392e-19    583.45 0 
   579.43 3.5153e-19    592.93 0 
   590.20 4.3774e-19    603.95 0 
   599.79 4.7605e-19    613.76 0 
   609.53 5.5855e-19    623.73 0 
   619.44 6.7522e-19    633.87 0 
   629.50 7.6348e-19    644.17 0 
   639.73 8.0932e-19    654.64 0 
   650.13 9.5809e-19    665.27 0 
   657.65 1.0621e-18    672.98 0 
   665.27 1.1559e-18    680.77 0 
   674.52 1.2144e-18    690.24 0 
   685.48 1.2576e-18    701.46 0 
   695.02 1.6864e-18    711.21 0 
   704.69 1.6840e-18    721.11 0 
   716.14 2.0914e-18    732.82 0 
   726.10 2.2634e-18    743.02 0 
   734.51 2.4342e-18    751.62 0 
   744.73 2.8683e-18    762.08 0 
   755.09 3.1833e-18    772.68 0 
   765.59 3.4921e-18    783.43 0 
   774.46 3.9590e-18    792.50 0 
   785.23 4.4233e-18    803.53 0 
   794.32 4.7665e-18    812.83 0 
   805.37 5.1440e-18    824.14 0 
   814.70 5.5043e-18    833.68 0 
   824.13 6.2528e-18    843.33 0 
   835.60 5.2734e-18    855.07 0 
   845.27 6.9730e-18    864.97 0 
   855.06 7.4083e-18    874.98 0 
   864.96 8.2034e-18    885.12 0 
   874.98 9.0833e-18    895.36 0 
   885.11 1.0220e-17    905.73 0 
   895.36 1.1083e-17    916.22 0 
   905.73 1.1320e-17    926.83 0 
   914.11 1.8594e-17    935.41 0 
   924.69 1.4272e-16    946.24 0 
   935.40 3.3082e-16    957.19 0 
   944.06 6.6229e-16    966.05 0 
   954.99 9.7971e-16    977.24 0 
   966.04 1.1197e-15    988.55 0 
   974.98 1.6692e-16    997.70 0 
   984.01 9.6137e-16   1006.93 0 
   995.40 1.0613e-15   1018.59 0 
  1004.61 1.6337e-15   1028.02 0 
  1013.91 1.6087e-15   1037.53 0 
  1025.65 6.8445e-16   1049.54 0 
  1035.14 1.1288e-15   1059.25 0 
  1044.71 2.3007e-15   1069.05 0 
  1054.38 2.2966e-15   1078.95 0 
  1064.14 1.8083e-15   1088.93 0 
  1073.98 2.2257e-15   1099.01 0 
  1083.92 1.7483e-15   1109.18 0 
  1093.95 2.4252e-15   1119.44 0 
  1104.07 2.3543e-15   1129.80 0 
  1114.29 2.2801e-15   1140.25 0 
  1124.60 2.0703e-15   1150.80 0 
  1135.00 2.7294e-15   1161.45 0 
  1145.51 2.4951e-15   1172.20 0 
  1156.11 2.7107e-15   1183.04 0 
  1164.12 2.8481e-15   1191.24 0 
  1174.89 1.9521e-15   1202.26 0 
  1185.76 2.8342e-15   1213.39 0 
  1193.98 1.9049e-15   1221.80 0 
  1205.03 1.3389e-15   1233.11 0 
  1216.18 9.1747e-16   1244.51 0 
  1224.61 1.9768e-15   1253.14 0 
  1235.94 3.1244e-15   1264.74 0 
  1244.51 3.5002e-15   1273.50 0 
  1256.02 3.3562e-15   1285.29 0 
  1264.73 2.8718e-15   1294.20 0 
  1276.43 3.8446e-15   1306.17 0 
  1285.28 4.0842e-15   1315.22 0 
  1294.19 3.1794e-15   1324.34 0 
  1306.16 3.1694e-15   1336.60 0 
  1315.22 4.0942e-15   1345.86 0 
  1324.33 3.9478e-15   1355.19 0 
  1333.51 3.4795e-15   1364.58 0 
  1345.85 4.2564e-15   1377.21 0 
  1355.18 4.1511e-15   1386.76 0 
  1364.58 3.7005e-15   1396.37 0 
  1374.03 3.9477e-15   1406.05 0 
  1383.56 4.0309e-15   1415.79 0 
  1396.36 3.5220e-15   1428.89 0 
  1406.04 3.7052e-15   1438.80 0 
  1415.79 3.7915e-15   1448.77 0 
  1425.60 3.9426e-15   1458.81 0 
  1435.48 3.9331e-15   1468.93 0 
  1442.11 4.2011e-15   1475.71 0 
  1445.43 4.2921e-15   1479.11 0 
  1455.45 4.1840e-15   1489.36 0 
  1465.54 3.8590e-15   1499.69 0 
  1475.70 3.8757e-15   1510.08 0 
  1485.93 3.9829e-15   1520.55 0 
  1496.23 4.0834e-15   1531.09 0 
  1506.60 3.8710e-15   1541.70 0 
  1513.55 3.4225e-15   1548.82 0 
  1517.04 3.7034e-15   1552.39 0 
  1524.04 3.5984e-15   1559.55 0 
  1534.61 3.1178e-15   1570.36 0 
  1545.24 3.5040e-15   1581.25 0 
  1555.96 3.3132e-15   1592.21 0 
  1566.74 3.3800e-15   1603.25 0 
  1573.97 3.6337e-15   1610.65 0 
  1584.88 3.8456e-15   1621.81 0 
  1595.87 3.9497e-15   1633.05 0 
  1603.24 3.8990e-15   1640.59 0 
  1614.35 3.9310e-15   1651.96 0 
  1625.54 3.7156e-15   1663.41 0 
  1636.81 3.9859e-15   1674.94 0 
  1644.36 4.0817e-15   1682.67 0 
  1655.76 3.7523e-15   1694.34 0 
  1663.40 4.1455e-15   1702.16 0 
  1671.08 3.6800e-15   1710.02 0 
  1678.79 4.1698e-15   1717.91 0 
  1686.54 4.3788e-15   1725.84 0 
  1694.33 4.1171e-15   1733.80 0 
  1706.07 3.9529e-15   1745.82 0 
  1713.95 3.7421e-15   1753.88 0 
  1725.83 3.7272e-15   1766.04 0 
  1733.79 4.0138e-15   1774.19 0 
  1745.81 3.9154e-15   1786.49 0 
  1753.87 4.2160e-15   1794.73 0 
  1766.03 3.8465e-15   1807.17 0 
  1774.18 3.9642e-15   1815.52 0 
  1786.48 4.0390e-15   1828.10 0 
  1794.72 4.3484e-15   1836.54 0 
  1803.01 4.3288e-15   1845.02 0 
  1815.51 3.9755e-15   1857.80 0 
  1823.88 4.0775e-15   1866.38 0 
  1836.53 3.9027e-15   1879.32 0 
  1845.00 3.5836e-15   1887.99 0 
  1853.52 3.5997e-15   1896.71 0 
  1866.37 3.7166e-15   1909.85 0 
  1874.98 4.0555e-15   1918.67 0 
  1883.64 3.7233e-15   1927.53 0 
  1896.70 3.5705e-15   1940.89 0 
  1905.45 3.7981e-15   1949.84 0 
  1914.24 3.6592e-15   1958.84 0 
  1923.08 3.5991e-15   1967.89 0 
  1936.41 3.7056e-15   1981.53 0 
  1945.35 3.8691e-15   1990.67 0 
  1954.33 3.6254e-15   1999.86 0 
  1967.87 3.9804e-15   2013.72 0 
  1976.96 4.0984e-15   2023.02 0 
  1986.08 3.8573e-15   2032.36 0 
  1995.25 3.7491e-15   2041.74 0 
  2004.46 3.8686e-15   2051.16 0 
  2013.71 3.7253e-15   2060.63 0 
  2023.01 3.9152e-15   2070.14 0 
  2037.03 3.6906e-15   2084.49 0 
  2046.43 3.8426e-15   2094.11 0 
  2055.88 3.6740e-15   2103.78 0 
  2065.37 3.6866e-15   2113.49 0 
  2074.90 3.9454e-15   2123.24 0 
  2079.68 3.7395e-15   2128.14 0 
  2084.48 3.8863e-15   2133.04 0 
  2094.10 3.6640e-15   2142.89 0 
  2103.77 3.6928e-15   2152.78 0 
  2113.48 3.7216e-15   2162.72 0 
  2123.23 3.7851e-15   2172.70 0 
  2133.03 3.5027e-15   2182.73 0 
  2142.88 3.5867e-15   2192.81 0 
  2152.77 3.7237e-15   2202.93 0 
  2162.71 3.6076e-15   2213.09 0 
  2172.69 3.5681e-15   2223.31 0 
  2182.72 3.4885e-15   2233.57 0 
  2192.79 3.6543e-15   2243.88 0 
  2202.91 3.5477e-15   2254.24 0 
  2213.08 3.3733e-15   2264.64 0 
  2223.30 3.2520e-15   2275.10 0 
  2233.56 3.4690e-15   2285.60 0 
  2243.87 3.3055e-15   2296.15 0 
  2254.23 3.1718e-15   2306.75 0 
  2264.63 3.2450e-15   2317.39 0 
  2275.08 3.3571e-15   2328.09 0 
  2285.59 3.4570e-15   2338.84 0 
  2296.14 3.2844e-15   2349.63 0 
  2306.73 3.2976e-15   2360.48 0 
  2317.38 3.1692e-15   2371.37 0 
  2322.72 2.5080e-15   2376.84 0 
  2333.44 2.9929e-15   2387.81 0 
  2344.22 2.9232e-15   2398.83 0 
  2355.04 3.1668e-15   2409.91 0 
  2365.91 2.9402e-15   2421.03 0 
  2376.83 3.0420e-15   2432.20 0 
  2382.31 2.8480e-15   2437.81 0 
  2393.30 3.0571e-15   2449.06 0 
  2404.35 2.9450e-15   2460.37 0 
  2415.45 3.0260e-15   2471.72 0 
  2426.60 3.2111e-15   2483.13 0 
  2437.80 3.0935e-15   2494.60 0 
  2443.42 3.2873e-15   2500.35 0 
  2454.70 3.2481e-15   2511.89 0 
  2466.02 3.2466e-15   2523.48 0 
  2477.41 3.1493e-15   2535.13 0 
  2483.12 3.2705e-15   2540.97 0 
  2494.58 3.0933e-15   2552.70 0 
  2506.09 3.4374e-15   2564.48 0 
  2511.87 3.1091e-15   2570.40 0 
  2517.66 3.2139e-15   2576.32 0 
  2523.47 3.0792e-15   2582.26 0 
  2535.11 3.1207e-15   2594.18 0 
  2546.81 3.0766e-15   2606.15 0 
  2552.69 3.2922e-15   2612.16 0 
  2564.47 3.2382e-15   2624.22 0 
  2576.31 3.4366e-15   2636.33 0 
  2582.24 3.4162e-15   2642.41 0 
  2594.16 3.3991e-15   2654.61 0 
  2606.14 3.3052e-15   2666.86 0 
  2612.15 3.2781e-15   2673.01 0 
  2624.20 3.4234e-15   2685.34 0 
  2636.32 3.5099e-15   2697.74 0 
  2642.39 3.7819e-15   2703.96 0 
  2654.59 3.8332e-15   2716.44 0 
  2666.84 3.5515e-15   2728.98 0 
  2672.99 3.7139e-15   2735.27 0 
  2685.33 3.7041e-15   2747.89 0 
  2697.72 3.5854e-15   2760.58 0 
  2703.94 3.6726e-15   2766.94 0 
  2716.42 3.5386e-15   2779.71 0 
  2722.69 3.5585e-15   2786.12 0 
  2735.25 3.7422e-15   2798.98 0 
  2747.88 3.3189e-15   2811.90 0 
  2754.21 3.3840e-15   2818.38 0 
  2766.92 3.5100e-15   2831.39 0 
  2773.30 3.6707e-15   2837.92 0 
  2786.10 3.5370e-15   2851.02 0 
  2792.53 2.9314e-15   2857.59 0 
  2805.42 3.1474e-15   2870.78 0 
  2811.89 3.7102e-15   2877.40 0 
  2824.86 3.8485e-15   2890.68 0 
  2837.90 3.7169e-15   2904.02 0 
  2844.44 3.6612e-15   2910.72 0 
  2857.57 3.5936e-15   2924.15 0 
  2864.16 3.8546e-15   2930.89 0 
  2877.38 3.8360e-15   2944.42 0 
  2884.01 3.8577e-15   2951.21 0 
  2897.33 3.8304e-15   2964.83 0 
  2910.70 4.1035e-15   2978.52 0 
  2930.88 4.0043e-15   2999.16 0 
  2951.19 3.9802e-15   3019.95 0 
  2971.65 4.0672e-15   3040.89 0 
  2992.25 4.0992e-15   3061.96 0 
  3012.99 4.1601e-15   3083.19 0 
  3026.90 4.1787e-15   3097.42 0 
  3047.88 4.1924e-15   3118.89 0 
  3069.00 4.2256e-15   3140.51 0 
  3090.28 4.2690e-15   3162.28 0 
  3111.70 4.2734e-15   3184.20 0 
  3133.27 4.2581e-15   3206.27 0 
  3147.73 4.2973e-15   3221.07 0 
  3169.55 4.3118e-15   3243.40 0 
  3191.52 4.1699e-15   3265.88 0 
  3213.64 4.3113e-15   3288.52 0 
  3228.48 4.2034e-15   3303.70 0 
  3250.85 4.3661e-15   3326.60 0 
  3273.39 4.4833e-15   3349.66 0 
  3288.50 4.4834e-15   3365.12 0 
  3311.29 4.5095e-15   3388.44 0 
  3318.92 4.5775e-15   3396.25 0 
  3326.58 4.5829e-15   3404.08 0 
  3334.24 4.7060e-15   3411.93 0 
  3341.93 4.4788e-15   3419.79 0 
  3349.64 4.7062e-15   3427.68 0 
  3357.36 4.5309e-15   3435.58 0 
  3365.10 4.3621e-15   3443.50 0 
  3372.85 4.2777e-15   3451.44 0 
  3380.63 4.5680e-15   3459.39 0 
  3388.42 4.7233e-15   3467.37 0 
  3396.23 4.5684e-15   3475.36 0 
  3404.06 4.6374e-15   3483.37 0 
  3411.91 4.4854e-15   3491.40 0 
  3419.77 4.5953e-15   3499.45 0 
  3427.66 4.6649e-15   3507.52 0 
  3435.56 4.7245e-15   3515.60 0 
  3443.48 4.5069e-15   3523.71 0 
  3451.42 4.7908e-15   3531.83 0 
  3459.37 4.5702e-15   3539.97 0 
  3467.35 4.5757e-15   3548.13 0 
  3475.34 4.6664e-15   3556.31 0 
  3483.35 4.6060e-15   3564.51 0 
  3491.38 4.7251e-15   3572.73 0 
  3499.43 4.4720e-15   3580.96 0 
  3507.50 4.6301e-15   3589.22 0 
  3515.58 4.5361e-15   3597.49 0 
  3523.69 4.6965e-15   3605.79 0 
  3531.81 4.6651e-15   3614.10 0 
  3539.95 4.7638e-15   3622.43 0 
  3548.11 4.8870e-15   3630.78 0 
  3556.29 4.8209e-15   3639.15 0 
  3564.49 4.8442e-15   3647.54 0 
  3572.71 4.6378e-15   3655.95 0 
  3580.94 4.5124e-15   3664.37 0 
  3589.20 4.2608e-15   3672.82 0 
  3597.47 4.5771e-15   3681.29 0 
  3605.76 4.6417e-15   3689.78 0 
  3614.08 4.5685e-15   3698.28 0 
  3622.41 4.6117e-15   3706.81 0 
  3630.76 5.1636e-15   3715.35 0 
  3639.13 4.8983e-15   3723.92 0 
  3639.36 4.4644e-15   3724.15 1 
  3642.04 4.8014e-15   3726.90 1 
  3644.73 4.8375e-15   3729.65 1 
  3647.42 4.5328e-15   3732.40 1 
  3650.11 4.6197e-15   3735.15 1 
  3652.79 4.6525e-15   3737.90 1 
  3655.48 4.7400e-15   3740.65 1 
  3658.17 4.4260e-15   3743.40 1 
  3660.86 4.5404e-15   3746.15 1 
  3663.54 4.7403e-15   3748.90 1 
  3666.23 4.6966e-15   3751.65 1 
  3668.92 4.7444e-15   3754.40 1 
  3671.61 4.9096e-15   3757.15 1 
  3674.29 4.5169e-15   3759.90 1 
  3676.98 4.7839e-15   3762.65 1 
  3679.67 4.7332e-15   3765.40 1 
  3682.35 4.5412e-15   3768.15 1 
  3685.04 4.7548e-15   3770.90 1 
  3687.73 4.5663e-15   3773.65 1 
  3690.42 4.3430e-15   3776.40 1 
  3693.10 4.8334e-15   3779.15 1 
  3695.79 4.9183e-15   3781.90 1 
  3698.48 4.8727e-15   3784.65 1 
  3701.17 4.5331e-15   3787.40 1 
  3703.85 4.6610e-15   3790.15 1 
  3706.54 4.9150e-15   3792.90 1 
  3709.23 4.9136e-15   3795.65 1 
  3711.92 4.5967e-15   3798.40 1 
  3714.60 4.9818e-15   3801.15 1 
  3717.29 5.0531e-15   3803.90 1 
