# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  1204.80 4.4272e-14   1207.81 0 
  1215.94 3.3199e-14   1218.99 0 
  1224.37 4.4069e-14   1227.44 0 
  1235.70 4.6573e-14   1238.80 0 
  1244.27 4.6252e-14   1247.38 0 
  1255.78 4.5408e-14   1258.93 0 
  1264.48 4.4888e-14   1267.65 0 
  1276.18 4.5617e-14   1279.38 0 
  1285.03 4.5095e-14   1288.25 0 
  1293.94 4.2182e-14   1297.18 0 
  1305.91 4.1796e-14   1309.18 0 
  1314.96 4.3165e-14   1318.26 0 
  1324.08 4.1604e-14   1327.39 0 
  1336.33 4.0284e-14   1339.68 0 
  1345.59 4.0563e-14   1348.96 0 
  1354.92 3.9640e-14   1358.31 0 
  1364.31 3.8030e-14   1367.73 0 
  1373.77 3.7250e-14   1377.21 0 
  1386.48 3.6655e-14   1389.95 0 
  1396.09 3.0070e-14   1399.59 0 
  1405.77 2.8453e-14   1409.29 0 
  1415.51 3.4366e-14   1419.06 0 
  1425.32 3.2669e-14   1428.89 0 
  1435.20 3.3353e-14   1438.80 0 
  1441.83 3.3123e-14   1445.44 0 
  1448.48 3.2819e-14   1452.11 0 
  1455.17 3.1852e-14   1458.81 0 
  1465.26 3.0984e-14   1468.93 0 
  1475.41 3.0699e-14   1479.11 0 
  1485.64 3.0488e-14   1489.36 0 
  1495.94 2.9794e-14   1499.69 0 
  1506.31 2.8916e-14   1510.08 0 
  1513.26 2.7742e-14   1517.05 0 
  1516.75 2.7870e-14   1520.55 0 
  1523.75 2.7487e-14   1527.57 0 
  1534.31 2.4953e-14   1538.15 0 
  1544.95 2.2394e-14   1548.82 0 
  1555.66 2.2342e-14   1559.55 0 
  1566.44 2.4051e-14   1570.36 0 
  1573.67 2.4725e-14   1577.61 0 
  1584.58 2.4611e-14   1588.55 0 
  1595.56 2.4385e-14   1599.56 0 
  1606.62 2.3395e-14   1610.65 0 
  1614.04 2.2810e-14   1618.08 0 
  1625.22 2.2653e-14   1629.30 0 
  1636.49 2.2810e-14   1640.59 0 
  1644.04 2.2291e-14   1648.16 0 
  1655.44 2.2446e-14   1659.59 0 
  1666.92 2.2291e-14   1671.09 0 
  1670.76 2.1190e-14   1674.94 0 
  1678.47 2.2705e-14   1682.67 0 
  1686.22 2.2189e-14   1690.44 0 
  1694.00 2.1534e-14   1698.24 0 
  1705.74 2.1044e-14   1710.02 0 
  1713.62 2.0283e-14   1717.91 0 
  1725.49 1.9867e-14   1729.82 0 
  1733.46 2.0236e-14   1737.80 0 
  1745.47 1.9867e-14   1749.85 0 
  1753.53 1.9685e-14   1757.92 0 
  1765.69 1.9281e-14   1770.11 0 
  1773.84 1.8842e-14   1778.28 0 
  1786.13 1.8842e-14   1790.61 0 
  1794.38 1.8669e-14   1798.87 0 
  1806.81 1.8541e-14   1811.34 0 
  1815.15 1.7788e-14   1819.70 0 
  1823.53 1.7706e-14   1828.10 0 
  1836.17 1.7463e-14   1840.77 0 
  1844.65 1.6639e-14   1849.27 0 
  1853.16 1.6525e-14   1857.80 0 
  1866.01 1.6487e-14   1870.68 0 
  1874.62 1.6487e-14   1879.32 0 
  1883.27 1.5636e-14   1887.99 0 
  1896.33 1.5175e-14   1901.08 0 
  1905.08 1.5529e-14   1909.85 0 
  1913.87 1.5036e-14   1918.67 0 
  1927.14 1.4459e-14   1931.97 0 
  1936.04 1.4830e-14   1940.89 0 
  1944.97 1.4898e-14   1949.84 0 
  1953.95 1.4032e-14   1958.84 0 
  1967.49 1.4392e-14   1972.42 0 
