# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  1204.52 1.3517e-15   1241.65 0 
  1215.66 1.0137e-15   1253.14 0 
  1224.09 2.1374e-15   1261.83 0 
  1235.41 3.4268e-15   1273.50 0 
  1243.98 3.8097e-15   1282.33 0 
  1255.49 3.6049e-15   1294.20 0 
  1264.19 3.0402e-15   1303.17 0 
  1275.89 4.1390e-15   1315.22 0 
  1284.73 4.4045e-15   1324.34 0 
  1293.64 3.3029e-15   1333.52 0 
  1305.61 3.2726e-15   1345.86 0 
  1314.66 4.3341e-15   1355.19 0 
  1323.77 4.1390e-15   1364.58 0 
  1336.02 3.5719e-15   1377.21 0 
  1345.28 4.4761e-15   1386.76 0 
  1354.60 4.3441e-15   1396.37 0 
  1363.99 3.8097e-15   1406.05 0 
  1373.45 4.0822e-15   1415.79 0 
  1386.16 4.1485e-15   1428.89 0 
  1395.77 3.5884e-15   1438.80 0 
  1405.44 3.7661e-15   1448.77 0 
  1415.18 3.8361e-15   1458.81 0 
  1424.99 4.0169e-15   1468.93 0 
  1434.87 3.9893e-15   1479.11 0 
  1441.49 4.2648e-15   1485.94 0 
  1448.15 4.3742e-15   1492.79 0 
  1454.83 4.2354e-15   1499.69 0 
  1464.92 3.8627e-15   1510.08 0 
  1475.07 3.8895e-15   1520.55 0 
  1485.29 4.0077e-15   1531.09 0 
  1495.59 4.1200e-15   1541.70 0 
  1505.96 3.8716e-15   1552.39 0 
  1512.91 3.3798e-15   1559.55 0 
  1516.40 3.6889e-15   1563.15 0 
  1523.40 3.5555e-15   1570.36 0 
  1533.95 3.0402e-15   1581.25 0 
  1544.59 3.4506e-15   1592.21 0 
  1555.29 3.2576e-15   1603.25 0 
  1566.07 3.3105e-15   1614.36 0 
  1573.30 3.5719e-15   1621.81 0 
  1584.21 3.8010e-15   1633.05 0 
  1595.19 3.8985e-15   1644.37 0 
  1606.25 3.8450e-15   1655.77 0 
  1613.66 3.8895e-15   1663.41 0 
  1624.85 3.6551e-15   1674.94 0 
  1636.11 3.9436e-15   1686.55 0 
  1643.66 4.0262e-15   1694.34 0 
  1655.06 3.6889e-15   1706.08 0 
  1666.53 4.1011e-15   1717.91 0 
  1670.37 3.5801e-15   1721.87 0 
  1678.08 4.1295e-15   1729.82 0 
  1685.83 4.3742e-15   1737.80 0 
  1693.61 4.0822e-15   1745.82 0 
  1705.35 3.9075e-15   1757.92 0 
  1713.22 3.6804e-15   1766.04 0 
  1725.09 3.6719e-15   1778.28 0 
  1733.06 3.9710e-15   1786.49 0 
  1745.07 3.8806e-15   1798.87 0 
  1753.12 4.1966e-15   1807.17 0 
  1765.28 3.8097e-15   1819.70 0 
  1773.42 3.9255e-15   1828.10 0 
  1785.72 4.0169e-15   1840.77 0 
  1793.96 4.3541e-15   1849.27 0 
  1806.39 4.3341e-15   1862.09 0 
  1814.73 3.9527e-15   1870.68 0 
  1823.11 4.0728e-15   1879.32 0 
  1835.75 3.8895e-15   1892.34 0 
  1844.22 3.5555e-15   1901.08 0 
  1857.00 3.5637e-15   1914.26 0 
  1865.57 3.7059e-15   1923.09 0 
  1874.19 4.0822e-15   1931.97 0 
  1882.84 3.7316e-15   1940.89 0 
  1895.89 3.5801e-15   1954.34 0 
  1904.64 3.8273e-15   1963.36 0 
  1913.43 3.6719e-15   1972.42 0 
  1926.69 3.6132e-15   1986.10 0 
  1935.59 3.7402e-15   1995.26 0 
  1944.52 3.9255e-15   2004.47 0 
  1953.50 3.6635e-15   2013.72 0 
  1967.04 4.0728e-15   2027.68 0 
  1976.12 4.2063e-15   2037.04 0 
  1985.24 3.9618e-15   2046.45 0 
  1994.40 3.8450e-15   2055.89 0 
  2003.61 3.9801e-15   2065.38 0 
  2012.85 3.8273e-15   2074.91 0 
  2026.81 4.0448e-15   2089.30 0 
  2036.16 3.8097e-15   2098.94 0 
  2045.56 3.9985e-15   2108.63 0 
  2055.00 3.8185e-15   2118.36 0 
  2064.49 3.8361e-15   2128.14 0 
  2074.02 4.1390e-15   2137.96 0 
  2078.80 3.9255e-15   2142.89 0 
  2083.59 4.0916e-15   2147.83 0 
  2093.21 3.8627e-15   2157.74 0 
  2102.87 3.8895e-15   2167.70 0 
  2112.58 3.9345e-15   2177.71 0 
  2127.22 4.0077e-15   2192.81 0 
  2137.04 3.6974e-15   2202.93 0 
  2146.90 3.8097e-15   2213.09 0 
  2156.81 3.9801e-15   2223.31 0 
  2166.77 3.8539e-15   2233.57 0 
  2176.77 3.8273e-15   2243.88 0 
  2186.82 3.7575e-15   2254.24 0 
  2196.91 3.9527e-15   2264.64 0 
  2207.05 3.8450e-15   2275.10 0 
  2217.24 3.6467e-15   2285.60 0 
  2227.47 3.5148e-15   2296.15 0 
  2232.61 3.7925e-15   2301.44 0 
  2242.91 3.6150e-15   2312.07 0 
  2253.27 3.4538e-15   2322.74 0 
  2263.67 3.5604e-15   2333.46 0 
  2274.12 3.6702e-15   2344.23 0 
  2284.61 3.7747e-15   2355.05 0 
  2295.16 3.5651e-15   2365.92 0 
  2305.75 3.5585e-15   2376.84 0 
  2316.39 3.3843e-15   2387.81 0 
  2327.09 2.5862e-15   2398.83 0 
  2332.45 3.1316e-15   2404.36 0 
  2343.22 3.0406e-15   2415.46 0 
  2354.03 3.3125e-15   2426.61 0 
  2364.90 3.0294e-15   2437.81 0 
  2375.81 3.1301e-15   2449.06 0 
  2386.78 2.9024e-15   2460.37 0 
  2392.28 3.1179e-15   2466.04 0 
  2403.33 2.9789e-15   2477.42 0 
  2414.42 3.0709e-15   2488.86 0 
  2425.56 3.2694e-15   2500.35 0 
  2436.76 3.1309e-15   2511.89 0 
  2442.38 3.3326e-15   2517.68 0 
  2453.65 3.2808e-15   2529.30 0 
  2464.98 3.2673e-15   2540.97 0 
  2476.35 3.1434e-15   2552.70 0 
  2487.78 3.2479e-15   2564.48 0 
  2493.52 3.0529e-15   2570.40 0 
  2505.03 3.4113e-15   2582.26 0 
  2510.80 3.0341e-15   2588.21 0 
  2516.59 3.1343e-15   2594.18 0 
  2522.39 2.9870e-15   2600.16 0 
  2534.03 3.0301e-15   2612.16 0 
  2545.73 2.9694e-15   2624.22 0 
  2557.48 3.1980e-15   2636.33 0 
  2563.38 3.1188e-15   2642.41 0 
