# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.02 1.4551e-21    100.69 0 
   102.11 1.9226e-21    102.80 0 
   104.01 2.3062e-21    104.71 0 
   105.95 2.8373e-21    106.66 0 
   107.92 3.5637e-21    108.64 0 
   109.92 5.1156e-21    110.66 0 
   114.05 7.1598e-21    114.82 0 
   118.06 9.4167e-21    118.85 0 
   121.08 3.4745e-20    121.90 0 
   125.05 4.3142e-20    125.89 0 
   127.08 4.6548e-20    127.94 0 
   127.96 4.9306e-20    128.82 0 
   130.94 5.4563e-20    131.83 0 
   131.85 6.4254e-20    132.74 0 
   133.99 6.8061e-20    134.90 0 
   137.11 8.5881e-20    138.04 0 
   139.99 9.4167e-20    140.93 0 
   142.92 2.4038e-19    143.88 0 
   146.92 5.4815e-19    147.91 0 
   151.04 5.9552e-19    152.05 0 
   154.91 6.5599e-19    155.96 0 
   158.89 7.2761e-19    159.96 0 
   161.84 7.7785e-19    162.93 0 
   165.99 8.6278e-19    167.11 0 
   169.86 9.3734e-19    171.00 0 
   173.02 9.9517e-19    174.18 0 
   177.05 1.0937e-18    178.24 0 
   179.92 1.1639e-18    181.13 0 
   182.01 1.2131e-18    183.23 0 
   185.82 1.3179e-18    187.07 0 
   191.02 1.4618e-18    192.31 0 
   194.13 1.5700e-18    195.43 0 
   198.19 1.7018e-18    199.53 0 
   201.88 1.8616e-18    203.24 0 
   205.16 1.9856e-18    206.54 0 
   209.93 2.1276e-18    211.35 0 
   215.82 2.5171e-18    217.27 0 
   219.83 2.7663e-18    221.31 0 
   222.89 2.9167e-18    224.39 0 
   227.03 3.2203e-18    228.56 0 
   230.19 4.7304e-18    231.74 0 
   233.93 7.6718e-18    235.50 0 
   239.93 1.0044e-17    241.55 0 
   246.08 1.0445e-17    247.74 0 
   251.82 1.2328e-17    253.51 0 
   257.09 1.1992e-17    258.82 0 
   260.07 1.3993e-17    261.82 0 
   264.29 1.8488e-17    266.07 0 
   269.21 2.0936e-17    271.02 0 
   274.21 2.3491e-17    276.06 0 
   279.31 2.2903e-17    281.19 0 
   283.85 2.9370e-17    285.76 0 
   289.79 3.3955e-17    291.74 0 
   295.86 3.5310e-17    297.85 0 
   300.67 3.4906e-17    302.69 0 
   307.67 4.2944e-17    309.74 0 
   317.75 5.1511e-17    319.89 0 
   328.16 6.2647e-17    330.37 0 
   338.13 6.9326e-17    340.41 0 
   347.60 7.6015e-17    349.95 0 
   357.34 1.1321e-16    359.75 0 
   365.67 1.8789e-16    368.13 0 
   375.05 2.0744e-16    377.57 0 
   384.67 1.8746e-16    387.26 0 
   395.44 3.0192e-16    398.11 0 
   404.65 4.0916e-16    407.38 0 
   414.08 4.4350e-16    416.87 0 
   421.78 4.3541e-16    424.62 0 
   429.62 4.4658e-16    432.51 0 
   440.64 5.6611e-16    443.61 0 
   450.90 6.2359e-16    453.94 0 
   460.35 5.9142e-16    463.45 0 
   469.99 6.4402e-16    473.15 0 
   479.83 7.6718e-16    483.06 0 
   489.87 6.9807e-16    493.17 0 
   500.13 9.0136e-16    503.50 0 
   505.92 8.1264e-16    509.33 0 
   511.78 1.2909e-15    515.23 0 
   520.10 1.2820e-15    523.60 0 
   529.77 1.2471e-15    533.33 0 
   539.62 1.0837e-15    543.25 0 
   549.65 1.0987e-15    553.35 0 
   559.87 1.4822e-15    563.64 0 
   570.28 1.7136e-15    574.12 0 
   579.54 1.7374e-15    583.45 0 
   590.32 1.8277e-15    594.29 0 
   599.91 1.6029e-15    603.95 0 
   609.66 1.5918e-15    613.76 0 
   619.56 2.0649e-15    623.73 0 
   629.63 1.9994e-15    633.87 0 
   639.86 2.2537e-15    644.17 0 
   650.26 2.2228e-15    654.64 0 
   657.79 2.0888e-15    662.22 0 
   665.40 2.3763e-15    669.88 0 
   674.66 2.5404e-15    679.20 0 
   685.62 2.2434e-15    690.24 0 
