# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.09 3.6528e-24    105.93 0 
   101.95 5.3529e-24    107.89 0 
   104.08 7.1049e-24    110.15 0 
   106.02 9.5835e-24    112.20 0 
   107.99 1.3197e-23    114.29 0 
   109.99 2.0345e-23    116.41 0 
   114.12 3.3527e-23    120.78 0 
   118.13 5.1561e-23    125.03 0 
   120.88 2.1591e-22    127.94 0 
   125.13 3.0493e-22    132.43 0 
   126.87 3.4928e-22    134.28 0 
   128.05 3.8032e-22    135.52 0 
   131.03 4.5825e-22    138.68 0 
   131.94 5.5858e-22    139.64 0 
   134.08 6.2381e-22    141.91 0 
   136.89 8.5705e-22    144.88 0 
   140.08 1.0068e-21    148.25 0 
   143.01 3.0262e-21    151.36 0 
   147.02 8.4886e-21    155.60 0 
   151.14 9.9487e-21    159.96 0 
   155.01 1.1768e-20    164.06 0 
   158.99 1.3952e-20    168.27 0 
   161.95 1.5689e-20    171.40 0 
   166.10 1.8515e-20    175.79 0 
   169.97 2.1206e-20    179.89 0 
   173.13 2.3626e-20    183.23 0 
   177.16 2.6874e-20    187.50 0 
   180.04 2.9531e-20    190.55 0 
   182.13 3.1423e-20    192.75 0 
   185.94 3.5333e-20    196.79 0 
   191.15 4.0747e-20    202.30 0 
   193.81 4.4571e-20    205.12 0 
   197.87 4.9315e-20    209.41 0 
   202.01 5.4816e-20    213.80 0 
   204.82 5.9137e-20    216.77 0 
   210.07 6.3500e-20    222.33 0 
   215.96 7.6151e-20    228.56 0 
   219.97 8.3485e-20    232.81 0 
   223.03 8.8015e-20    236.05 0 
   227.18 9.6491e-20    240.44 0 
   229.81 1.5221e-19    243.22 0 
   234.08 2.5315e-19    247.74 0 
   240.09 3.3210e-19    254.10 0 
   246.25 3.3049e-19    260.62 0 
   251.98 3.7159e-19    266.69 0 
   257.26 3.2732e-19    272.27 0 
   260.24 3.8719e-19    275.42 0 
   263.86 4.1867e-19    279.25 0 
   268.76 4.3430e-19    284.45 0 
   273.76 4.4844e-19    289.73 0 
   278.85 4.6304e-19    295.12 0 
   284.03 4.7921e-19    300.61 0 
   289.98 4.7362e-19    306.90 0 
   296.05 4.9926e-19    313.33 0 
   300.86 5.0611e-19    318.42 0 
   307.87 5.3226e-19    325.84 0 
   317.96 5.7010e-19    336.51 0 
   328.38 5.9536e-19    347.54 0 
   338.35 6.1462e-19    358.10 0 
   347.83 6.3161e-19    368.13 0 
