# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   101.99 2.0916e-18    103.75 0 
   103.89 2.4405e-18    105.68 0 
   106.07 2.9207e-18    107.89 0 
   108.04 3.5685e-18    109.90 0 
   110.05 4.9600e-18    111.94 0 
   113.91 6.6449e-18    115.88 0 
   117.92 8.4040e-18    119.95 0 
   120.94 2.8740e-17    123.03 0 
   124.90 3.4394e-17    127.06 0 
   126.93 3.6600e-17    129.12 0 
   128.11 3.8325e-17    130.32 0 
   131.09 4.1446e-17    133.35 0 
   132.00 4.8249e-17    134.28 0 
   134.14 5.0290e-17    136.46 0 
   136.95 6.1871e-17    139.32 0 
   140.14 6.6143e-17    142.56 0 
   143.08 1.6923e-16    145.55 0 
   147.09 3.8680e-16    149.62 0 
   150.86 4.0596e-16    153.46 0 
   155.09 4.3200e-16    157.76 0 
   159.06 4.6077e-16    161.81 0 
   162.02 4.8027e-16    164.82 0 
   166.18 5.1462e-16    169.04 0 
   170.05 5.3887e-16    172.98 0 
   172.81 5.6168e-16    175.79 0 
   176.84 5.8815e-16    179.89 0 
   180.12 6.0741e-16    183.23 0 
   181.79 6.2156e-16    184.93 0 
   186.03 6.4787e-16    189.23 0 
   190.80 6.7996e-16    194.09 0 
   193.90 7.0548e-16    197.24 0 
   197.96 7.3027e-16    201.37 0 
   202.10 7.5943e-16    205.59 0 
   204.91 7.7891e-16    208.45 0 
   210.17 7.7712e-16    213.80 0 
   216.06 8.5013e-16    219.79 0 
   220.08 8.8001e-16    223.87 0 
   223.14 8.8815e-16    226.99 0 
   226.76 9.2148e-16    230.67 0 
   229.92 1.3947e-15    233.88 0 
   234.19 2.3200e-15    238.23 0 
   240.20 2.9274e-15    244.34 0 
   245.79 2.7132e-15    250.03 0 
   252.10 2.8674e-15    256.45 0 
   256.79 2.3361e-15    261.22 0 
   259.76 2.7510e-15    264.24 0 
   263.98 2.8939e-15    268.53 0 
   268.89 2.8674e-15    273.53 0 
   273.89 2.8280e-15    278.61 0 
   278.98 2.7700e-15    283.79 0 
   284.17 2.7637e-15    289.07 0 
   290.12 2.6091e-15    295.12 0 
   296.19 2.5971e-15    301.30 0 
   301.00 2.4974e-15    306.20 0 
   308.02 2.5089e-15    313.33 0 
   318.11 2.5089e-15    323.59 0 
   327.77 2.4518e-15    333.43 0 
   337.73 2.3631e-15    343.56 0 
   347.99 2.2776e-15    354.00 0 
   356.92 2.2516e-15    363.08 0 
   366.08 2.2829e-15    372.39 0 
   374.60 2.2156e-15    381.07 0 
   385.10 2.0440e-15    391.74 0 
   394.98 2.1207e-15    401.79 0 
   405.11 2.1354e-15    412.10 0 
   413.59 2.0772e-15    420.73 0 
   422.25 1.9837e-15    429.54 0 
   430.10 1.9208e-15    437.52 0 
   441.14 1.9164e-15    448.75 0 
   451.41 1.8599e-15    459.20 0 
   459.80 1.7680e-15    467.74 0 
   470.51 1.7198e-15    478.63 0 
   480.37 1.7198e-15    488.65 0 
   490.43 1.6050e-15    498.88 0 
   499.54 1.6424e-15    508.16 0 
   506.49 1.5577e-15    515.23 0 
   512.36 1.7397e-15    521.19 0 
   519.48 1.6846e-15    528.45 0 
   530.36 1.5977e-15    539.51 0 
   540.22 1.4537e-15    549.54 0 
   550.27 1.3979e-15    559.76 0 
   560.50 1.4876e-15    570.16 0 
   569.60 1.5222e-15    579.43 0 
   580.19 1.4638e-15    590.20 0 
   589.62 1.4437e-15    599.79 0 
   600.58 1.3167e-15    610.94 0 
   610.34 1.1574e-15    620.87 0 
   620.26 1.3598e-15    630.96 0 
   630.34 1.2897e-15    641.21 0 
   640.58 1.3197e-15    651.63 0 
   649.49 1.2662e-15    660.69 0 
   658.53 1.1953e-15    669.88 0 
   664.62 1.2459e-15    676.08 0 
   675.42 1.2459e-15    687.07 0 
   684.81 1.1285e-15    696.63 0 
   694.34 1.1871e-15    706.32 0 
   705.62 1.0507e-15    717.79 0 
   715.44 1.1547e-15    727.78 0 
   725.39 1.1389e-15    737.90 0 
   735.48 1.1207e-15    748.17 0 
   745.71 1.0777e-15    758.58 0 
   754.35 1.0507e-15    767.36 0 
   764.84 9.3215e-16    778.04 0 
   775.48 1.0104e-15    788.86 0 
   784.46 9.4077e-16    797.99 0 
   795.38 9.6269e-16    809.10 0 
   804.59 9.6047e-16    818.46 0 
   815.78 9.4730e-16    829.85 0 
   825.23 9.3645e-16    839.46 0 
   834.78 8.0442e-16    849.18 0 
   844.45 8.9225e-16    859.01 0 
   854.23 8.6793e-16    868.96 0 
   864.12 8.6993e-16    879.02 0 
   874.12 8.5800e-16    889.20 0 
   884.25 8.4428e-16    899.50 0 
   894.48 8.3078e-16    909.91 0 
   904.84 8.0628e-16    920.45 0 
   915.32 7.9889e-16    931.11 0 
   925.92 1.4437e-15    941.89 0 
   934.49 2.0916e-15    950.60 0 
   945.31 2.6454e-15    961.61 0 
   954.05 2.9750e-15    970.51 0 
   965.10 3.1585e-15    981.75 0 
   974.03 1.5187e-15    990.83 0 
   985.31 2.5733e-15   1002.31 0 
   994.43 2.4745e-15   1011.58 0 
  1005.94 2.9545e-15   1023.29 0 
  1015.25 2.9887e-15   1032.76 0 
  1024.64 2.0582e-15   1042.32 0 
  1034.12 2.6151e-15   1051.96 0 
  1046.10 3.4079e-15   1064.14 0 
  1055.78 3.2771e-15   1073.99 0 
  1065.55 2.8021e-15   1083.93 0 
  1075.41 3.0233e-15   1093.96 0 
  1085.36 2.5851e-15   1104.08 0 
  1095.40 3.0443e-15   1114.29 0 
  1105.54 2.9006e-15   1124.61 0 
  1115.77 2.8150e-15   1135.01 0 
  1126.09 2.5031e-15   1145.51 0 
  1133.89 2.8873e-15   1153.45 0 
  1144.39 2.7320e-15   1164.13 0 
  1154.98 2.7257e-15   1174.90 0 
  1165.66 2.6760e-15   1185.77 0 
  1173.74 1.9208e-15   1193.99 0 
  1184.60 2.5321e-15   1205.04 0 
  1195.56 2.1651e-15   1216.19 0 
  1203.85 1.8556e-15   1224.62 0 
  1214.99 1.4604e-15   1235.95 0 
  1226.23 2.0868e-15   1247.38 0 
  1234.73 2.4518e-15   1256.03 0 
  1246.16 2.5089e-15   1267.65 0 
  1254.79 2.4293e-15   1276.44 0 
  1266.41 2.3093e-15   1288.25 0 
  1275.18 2.5614e-15   1297.18 0 
  1284.02 2.5851e-15   1306.17 0 
  1295.90 2.2258e-15   1318.26 0 
  1304.89 2.2156e-15   1327.39 0 
  1313.93 2.4974e-15   1336.60 0 
  1326.09 2.3850e-15   1348.96 0 
  1335.28 2.2105e-15   1358.31 0 
  1344.54 2.3960e-15   1367.73 0 
  1353.86 2.3253e-15   1377.21 0 
  1366.38 2.1453e-15   1389.95 0 
  1375.85 2.1453e-15   1399.59 0 
  1385.39 2.1207e-15   1409.29 0 
  1395.00 1.6884e-15   1419.06 0 
  1404.66 1.6500e-15   1428.89 0 
  1414.40 1.9656e-15   1438.80 0 
  1424.21 1.9208e-15   1448.77 0 
  1434.08 1.9610e-15   1458.81 0 
  1440.70 1.9883e-15   1465.55 0 
  1447.35 1.9883e-15   1472.31 0 
  1454.03 1.9208e-15   1479.11 0 
  1464.11 1.8092e-15   1489.36 0 
  1474.26 1.8092e-15   1499.69 0 
  1484.47 1.8175e-15   1510.08 0 
  1494.76 1.8009e-15   1520.55 0 
  1505.13 1.7119e-15   1531.09 0 
  1512.07 1.5757e-15   1538.15 0 
  1515.56 1.6274e-15   1541.70 0 
  1526.06 1.6013e-15   1552.39 0 
  1536.64 1.3979e-15   1563.15 0 
  1543.74 1.3258e-15   1570.36 0 
  1554.44 1.3016e-15   1581.25 0 
  1565.21 1.4012e-15   1592.21 0 
  1576.06 1.4706e-15   1603.25 0 
  1583.33 1.5014e-15   1610.65 0 
  1594.31 1.5048e-15   1621.81 0 
