# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.10 7.8333e-22    101.86 0 
   101.96 1.0863e-21    103.75 0 
   104.10 1.3770e-21    105.93 0 
   106.03 1.7863e-21    107.89 0 
   108.00 2.3548e-21    109.90 0 
   110.01 3.5888e-21    111.94 0 
   113.88 5.5583e-21    115.88 0 
   117.88 8.0899e-21    119.95 0 
   120.90 2.9305e-20    123.03 0 
   124.86 4.0174e-20    127.06 0 
   126.89 4.5914e-20    129.12 0 
   128.07 4.9653e-20    130.32 0 
   131.05 5.9422e-20    133.35 0 
   131.96 7.0623e-20    134.28 0 
   134.10 7.8876e-20    136.46 0 
   136.91 1.0494e-19    139.32 0 
   140.10 1.2301e-19    142.56 0 
   143.03 3.1619e-19    145.55 0 
   147.04 7.6727e-19    149.62 0 
   151.16 8.9938e-19    153.82 0 
   155.04 1.0616e-18    157.76 0 
   159.02 1.2472e-18    161.81 0 
   161.97 1.3994e-18    164.82 0 
   166.13 1.6442e-18    169.04 0 
   170.00 1.8878e-18    172.98 0 
   173.16 2.0987e-18    176.20 0 
   177.19 2.3875e-18    180.30 0 
   180.07 2.6239e-18    183.23 0 
   182.15 2.7986e-18    185.35 0 
   185.97 3.1546e-18    189.23 0 
   191.18 3.6387e-18    194.54 0 
   193.84 3.9806e-18    197.24 0 
   197.90 4.4152e-18    201.37 0 
   202.04 4.9198e-18    205.59 0 
   204.85 5.3082e-18    208.45 0 
   210.11 5.7404e-18    213.80 0 
   215.99 6.8698e-18    219.79 0 
   220.01 7.5500e-18    223.87 0 
   223.07 7.9606e-18    226.99 0 
   227.22 8.7286e-18    231.21 0 
   229.85 1.3676e-17    233.88 0 
   234.12 2.3930e-17    238.23 0 
   240.13 3.1113e-17    244.34 0 
   245.72 3.1401e-17    250.03 0 
   252.02 3.4910e-17    256.45 0 
   256.71 3.0757e-17    261.22 0 
   260.28 3.6220e-17    264.85 0 
   263.90 3.9169e-17    268.53 0 
   268.81 4.0639e-17    273.53 0 
   273.80 4.1971e-17    278.61 0 
   278.89 4.3346e-17    283.79 0 
