# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.08 6.0321e-23    100.46 0 
   101.94 9.3641e-23    102.33 0 
   104.08 1.3136e-22    104.47 0 
   106.01 1.8727e-22    106.41 0 
   107.98 2.7131e-22    108.39 0 
   109.99 4.3900e-22    110.41 0 
   114.12 7.9518e-22    114.55 0 
   118.13 1.3380e-21    118.58 0 
   120.88 5.9493e-21    121.34 0 
   125.13 9.1299e-21    125.60 0 
   126.87 1.0876e-20    127.35 0 
   128.04 1.2091e-20    128.53 0 
   131.03 1.5398e-20    131.52 0 
   131.93 1.9119e-20    132.43 0 
   134.08 2.2104e-20    134.59 0 
   136.89 3.1950e-20    137.40 0 
   140.07 3.9488e-20    140.60 0 
   143.01 1.2430e-19    143.55 0 
   147.01 3.7538e-19    147.57 0 
   151.13 4.6609e-19    151.71 0 
   155.01 5.8273e-19    155.60 0 
   158.98 7.3024e-19    159.59 0 
   161.94 8.5402e-19    162.55 0 
   166.09 1.0604e-18    166.72 0 
   169.96 1.2749e-18    170.61 0 
   173.12 1.4705e-18    173.78 0 
   177.16 1.7517e-18    177.83 0 
   180.03 1.9837e-18    180.72 0 
   182.12 2.1551e-18    182.81 0 
   185.93 2.5262e-18    186.64 0 
   191.14 3.0582e-18    191.87 0 
   193.80 3.4393e-18    194.54 0 
   197.86 3.9488e-18    198.61 0 
   202.00 4.5548e-18    202.77 0 
   204.81 5.0404e-18    205.59 0 
   210.07 5.6425e-18    210.86 0 
   215.95 7.1034e-18    216.77 0 
   219.97 8.0254e-18    220.80 0 
   223.03 8.6391e-18    223.87 0 
   227.17 9.7604e-18    228.03 0 
   229.80 1.5903e-17    230.67 0 
   234.08 2.7256e-17    234.96 0 
   240.08 3.7194e-17    240.99 0 
   246.24 3.8501e-17    247.17 0 
   251.97 4.4923e-17    252.93 0 
   257.25 4.0688e-17    258.23 0 
   260.23 4.8918e-17    261.22 0 
   263.85 5.4134e-17    264.85 0 
   268.75 5.7739e-17    269.77 0 
   273.75 6.1019e-17    274.79 0 
   278.84 6.4784e-17    279.90 0 
   284.02 6.8623e-17    285.10 0 
   289.97 6.9898e-17    291.07 0 
   296.04 7.5591e-17    297.17 0 
   300.85 7.8427e-17    302.00 0 
   307.86 8.5010e-17    309.03 0 
   317.95 9.4726e-17    319.15 0 
   328.36 1.0291e-16    329.61 0 
   338.34 1.1027e-16    339.63 0 
   347.82 1.1735e-16    349.14 0 
   356.74 1.2459e-16    358.10 0 
   365.89 1.3319e-16    367.28 0 
   375.28 1.3915e-16    376.70 0 
   384.91 1.4141e-16    386.37 0 
   394.78 1.5398e-16    396.28 0 
   404.91 1.6386e-16    406.44 0 
   414.34 1.6923e-16    415.91 0 
   422.04 1.7158e-16    423.64 0 
   429.89 1.7558e-16    431.52 0 
   440.92 1.8428e-16    442.59 0 
   451.19 1.8857e-16    452.90 0 
   459.57 1.9075e-16    461.32 0 
   470.28 1.9564e-16    472.06 0 
   480.13 2.0299e-16    481.95 0 
   490.18 2.0205e-16    492.04 0 
   500.44 2.1206e-16    502.34 0 
   506.24 2.0867e-16    508.16 0 
   512.10 2.3252e-16    514.04 0 
   520.42 2.3576e-16    522.40 0 
   530.10 2.3739e-16    532.11 0 
   539.95 2.3252e-16    542.00 0 
   549.99 2.4404e-16    552.08 0 
   560.22 2.6210e-16    562.34 0 
   570.63 2.7956e-16    572.80 0 
   579.90 2.7763e-16    582.10 0 
   589.33 2.9749e-16    591.56 0 
   600.28 2.9612e-16    602.56 0 
   610.04 2.9005e-16    612.35 0 
   619.95 3.3999e-16    622.30 0 
   630.02 3.5113e-16    632.41 0 
   640.26 3.6014e-16    642.69 0 
   650.66 3.8236e-16    653.13 0 
   658.20 3.9671e-16    660.69 0 
   664.29 4.1540e-16    666.81 0 
   675.08 4.2021e-16    677.64 0 
   684.47 4.1349e-16    687.07 0 
   695.59 4.9371e-16    698.23 0 
   705.27 4.7694e-16    707.95 0 
   716.73 5.4509e-16    719.45 0 
   726.70 5.6685e-16    729.46 0 
   735.12 5.8812e-16    737.90 0 
   745.34 6.4784e-16    748.17 0 
   755.71 6.8781e-16    758.58 0 
   764.46 7.0708e-16    767.36 0 
   775.10 7.8427e-16    778.04 0 
   785.88 8.3266e-16    788.86 0 
   794.98 8.7593e-16    797.99 0 
   804.18 9.2144e-16    807.24 0 
   815.37 9.5823e-16    818.46 0 
   824.81 1.0531e-15    827.94 0 
   834.36 8.6391e-16    837.53 0 
