# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.00 3.0601e-23    102.57 0 
   103.90 3.7217e-23    104.47 0 
   106.08 4.6961e-23    106.66 0 
   108.05 5.9394e-23    108.64 0 
   110.06 9.4350e-23    110.66 0 
   113.93 1.4052e-22    114.55 0 
   117.93 1.9712e-22    118.58 0 
   120.95 5.6330e-22    121.62 0 
   124.92 7.9021e-22    125.60 0 
   126.95 9.2628e-22    127.64 0 
   128.12 1.0063e-21    128.82 0 
   131.10 1.2553e-21    131.83 0 
   132.01 1.4413e-21    132.74 0 
   133.85 1.6586e-21    134.59 0 
   136.97 2.1614e-21    137.72 0 
   140.16 2.6469e-21    140.93 0 
   143.09 4.4951e-21    143.88 0 
   147.10 7.3577e-21    147.91 0 
   150.88 9.3485e-21    151.71 0 
   155.10 1.1851e-20    155.96 0 
   159.08 1.4919e-20    159.96 0 
   162.04 1.7650e-20    162.93 0 
   165.81 2.1865e-20    166.72 0 
   170.07 2.6714e-20    171.00 0 
   172.83 3.1027e-20    173.78 0 
   176.86 3.7475e-20    177.83 0 
   180.14 4.2928e-20    181.13 0 
   181.81 4.7070e-20    182.81 0 
   186.05 5.6071e-20    187.07 0 
   190.82 6.8824e-20    191.87 0 
   193.92 7.7757e-20    194.98 0 
   197.98 9.0937e-20    199.07 0 
   202.12 1.0586e-19    203.24 0 
   204.94 1.1796e-19    206.06 0 
   210.19 1.3701e-19    211.35 0 
   216.08 1.7208e-19    217.27 0 
   220.10 1.9622e-19    221.31 0 
   223.16 2.1466e-19    224.39 0 
   226.79 2.4364e-19    228.03 0 
   229.94 3.8792e-19    231.21 0 
   234.22 6.5425e-19    235.50 0 
   240.23 9.0311e-19    241.55 0 
   245.82 9.7441e-19    247.17 0 
   252.13 1.1214e-18    253.51 0 
   256.81 1.0133e-18    258.23 0 
   259.79 1.2381e-18    261.22 0 
   264.01 1.3732e-18    265.46 0 
   268.92 1.4748e-18    270.40 0 
   273.92 1.5803e-18    275.42 0 
   279.01 1.6817e-18    280.54 0 
   284.20 1.7978e-18    285.76 0 
   290.15 1.8610e-18    291.74 0 
   296.22 2.0311e-18    297.85 0 
   301.04 2.0547e-18    302.69 0 
   308.05 2.2633e-18    309.74 0 
   318.14 2.5630e-18    319.89 0 
   327.81 2.8102e-18    329.61 0 
   337.77 3.0391e-18    339.63 0 
   348.03 3.2639e-18    349.95 0 
   356.96 3.4974e-18    358.92 0 
   366.12 3.7561e-18    368.13 0 
   374.64 3.9696e-18    376.70 0 
   385.14 4.0902e-18    387.26 0 
   395.02 4.4437e-18    397.19 0 
   405.15 4.7287e-18    407.38 0 
   413.64 4.9402e-18    415.91 0 
   422.30 5.1020e-18    424.62 0 
   430.15 5.2692e-18    432.51 0 
   441.18 5.6071e-18    443.61 0 
