lam      lh1=14     lh1=16     lh1=17   lh1=17.25   lh1=17.5  lh1=17.75    lh1=18   lh1=18.25   lh1=18.5
  91      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  94      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  96      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  98      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 100      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 102      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 104      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 106      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 108      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 110      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 114  2.076e+35  2.075e+35  2.067e+35  2.061e+35  2.049e+35  2.029e+35  1.994e+35  1.932e+35  1.828e+35
 118  1.693e+37  1.692e+37  1.685e+37  1.679e+37  1.669e+37  1.651e+37  1.619e+37  1.564e+37  1.471e+37
 121  1.307e+38  1.307e+38  1.301e+38  1.296e+38  1.288e+38  1.273e+38  1.246e+38  1.201e+38  1.124e+38
 125  1.168e+38  1.168e+38  1.162e+38  1.158e+38  1.149e+38  1.135e+38  1.109e+38  1.065e+38  9.906e+37
 127  7.573e+37  7.569e+37  7.531e+37  7.500e+37  7.443e+37  7.344e+37  7.170e+37  6.872e+37  6.372e+37
 128  1.688e+37  1.688e+37  1.679e+37  1.672e+37  1.659e+37  1.636e+37  1.597e+37  1.529e+37  1.415e+37
 131  1.501e+36  1.501e+36  1.492e+36  1.486e+36  1.473e+36  1.452e+36  1.415e+36  1.351e+36  1.244e+36
 132  8.387e+36  8.382e+36  8.336e+36  8.297e+36  8.227e+36  8.105e+36  7.892e+36  7.528e+36  6.921e+36
