Min. Lam (nm)	Max Lam (nm)	Cent. Lam (nm)	Optics T
100     100     100     0.06910
200	230	215	0.06910
220	260	240	0.08500
250	290	270	0.10540
280	330	305	0.12810
320	370	345	0.14910
360	400	380	0.12810
400	460	430	0.13760
450	520	485	0.29950
510	590	550	0.32480
580	670	625	0.29980
660	770	715	0.24750
760	850	805	0.15520
850	990	920	0.26460
980	1140	1060	0.39910
1130	1310	1220	0.46460
1300	1510	1405	0.48570
1500	1740	1620	0.50440
1730	2010	1870	0.51730
2000	2320	2160	0.52700
2310	2500	2405	0.53340
5000    5000    5000    0.53340
