#Wavelength    ReadNoise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
#(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
1018.6666          0.00      1.36e-10      4.20e-06       872.3      9.40e-20         2.09         1.00
1018.6933          0.00      1.36e-10      4.20e-06       875.0      9.37e-20         2.09         1.00
1018.7200          0.00      1.37e-10      4.20e-06       877.6      9.34e-20         2.09         1.00
1018.7466          0.00      1.37e-10      4.20e-06       880.3      9.31e-20         2.09         1.00
1018.7733          0.00      1.37e-10      4.20e-06       882.9      9.28e-20         2.09         1.00
1018.8000          0.00      1.38e-10      4.20e-06       885.6      9.25e-20         2.09         1.00
1018.8267          0.00      1.38e-10      4.20e-06       888.2      9.23e-20         2.08         1.00
1018.8533          0.00      1.39e-10      4.20e-06       890.9      9.20e-20         2.08         1.00
1018.8800          0.00      1.39e-10      4.20e-06       893.5      9.17e-20         2.08         1.00
1018.9066          0.00      1.40e-10      4.20e-06       896.2      9.14e-20         2.08         1.00
1018.9333          0.00      1.40e-10      4.20e-06       898.8      9.12e-20         2.08         1.00
1018.9600          0.00      1.41e-10      4.20e-06       901.5      9.09e-20         2.08         1.00
1018.9866          0.00      1.41e-10      4.20e-06       904.1      9.06e-20         2.08         1.00
1019.0133          0.00      1.42e-10      4.20e-06       906.8      9.04e-20         2.08         1.00
1019.0400          0.00      1.42e-10      4.20e-06       909.4      9.01e-20         2.08         1.00
1019.0667          0.00      1.42e-10      4.20e-06       912.1      8.98e-20         2.08         1.00
1019.0933          0.00      1.43e-10      4.20e-06       914.7      8.96e-20         2.08         1.00
1019.1200          0.00      1.43e-10      4.20e-06       917.4      8.93e-20         2.08         1.00
1019.1467          0.00      1.44e-10      4.20e-06       920.0      8.90e-20         2.08         1.00
1019.1733          0.00      1.44e-10      4.20e-06       922.7      8.88e-20         2.07         1.00
1019.2000          0.00      1.45e-10      4.20e-06       925.3      8.85e-20         2.07         1.00
1019.2266          0.00      1.45e-10      4.20e-06       928.0      8.83e-20         2.07         1.00
1019.2533          0.00      1.46e-10      4.20e-06       930.6      8.80e-20         2.07         1.00
1019.2800          0.00      1.46e-10      4.20e-06       933.3      8.78e-20         2.07         1.00
1019.3066          0.00      1.47e-10      4.20e-06       935.9      8.75e-20         2.07         1.00
1019.3333          0.00      1.47e-10      4.20e-06       938.6      8.73e-20         2.07         1.00
1019.3600          0.00      1.47e-10      4.20e-06       941.2      8.70e-20         2.07         1.00
1019.3867          0.00      1.48e-10      4.20e-06       943.9      8.68e-20         2.07         1.00
1019.4133          0.00      1.48e-10      4.20e-06       946.5      8.65e-20         2.07         1.00
1019.4400          0.00      1.49e-10      4.20e-06       949.2      8.63e-20         2.07         1.00
1019.4667          0.00      1.49e-10      4.20e-06       951.8      8.60e-20         2.07         1.00
1019.4933          0.00      1.50e-10      4.20e-06       954.5      8.58e-20         2.07         1.00
1019.5200          0.00      1.50e-10      4.20e-06       957.1      8.56e-20         2.06         1.00
1019.5466          0.00      1.51e-10      4.20e-06       959.8      8.53e-20         2.06         1.00
1019.5733          0.00      1.51e-10      4.20e-06       962.4      8.51e-20         2.06         1.00
1019.6000          0.00      1.52e-10      4.20e-06       965.1      8.49e-20         2.06         1.00
1019.6266          0.00      1.52e-10      4.20e-06       967.7      8.46e-20         2.06         1.00
1019.6533          0.00      1.53e-10      4.20e-06       970.4      8.44e-20         2.06         1.00
1019.6800          0.00      1.53e-10      4.20e-06       973.0      8.42e-20         2.06         1.00
1019.7067          0.00      1.53e-10      4.20e-06       975.7      8.39e-20         2.06         1.00
1019.7333          0.00      1.54e-10      4.20e-06       978.3      8.37e-20         2.06         1.00
1019.7600          0.00      1.54e-10      4.20e-06       981.0      8.35e-20         2.06         1.00
1019.7866          0.00      1.55e-10      4.20e-06       983.6      8.32e-20         2.06         1.00
1019.8133          0.00      1.55e-10      4.20e-06       986.2      8.30e-20         2.06         1.00
1019.8400          0.00      1.56e-10      4.20e-06       988.9      8.28e-20         2.06         1.00
1019.8666          0.00      1.56e-10      4.20e-06       991.5      8.26e-20         2.05         1.00
1019.8933          0.00      1.57e-10      4.20e-06       994.2      8.23e-20         2.05         1.00
1019.9200          0.00      1.57e-10      4.20e-06       996.8      8.21e-20         2.05         1.00
1019.9467          0.00      1.58e-10      4.20e-06       999.5      8.19e-20         2.05         1.00
1019.9733          0.00      1.58e-10      4.20e-06      1002.1      8.17e-20         2.05         1.00
1020.0000          0.00      1.59e-10      4.20e-06      1004.8      8.15e-20         2.05         1.00
1020.0267          0.00      1.63e-10      4.20e-06      1034.1      7.92e-20         2.05         1.00
1020.0533          0.00      1.68e-10      4.20e-06      1063.4      7.70e-20         2.05         1.00
