#Wavelength    ReadNoise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
#(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
1234.1936          0.00      1.63e-06      4.20e-06     76017.8      1.23e-21         3.63         7.40
1234.2194          0.00      1.62e-06      4.20e-06     76004.3      1.23e-21         3.63         7.40
1234.2452          0.00      1.62e-06      4.20e-06     75990.8      1.23e-21         3.63         7.40
1234.2710          0.00      1.61e-06      4.20e-06     75977.4      1.23e-21         3.63         7.40
1234.2969          0.00      1.61e-06      4.20e-06     75963.8      1.23e-21         3.62         7.39
1234.3226          0.00      1.60e-06      4.20e-06     75950.4      1.23e-21         3.62         7.39
1234.3484          0.00      1.60e-06      4.20e-06     75936.9      1.23e-21         3.62         7.39
1234.3743          0.00      1.59e-06      4.20e-06     75923.4      1.23e-21         3.62         7.39
1234.4000          0.00      1.59e-06      4.20e-06     75910.0      1.23e-21         3.62         7.39
1234.4259          0.00      1.58e-06      4.20e-06     75896.4      1.23e-21         3.62         7.39
1234.4517          0.00      1.58e-06      4.20e-06     75883.0      1.23e-21         3.62         7.39
1234.4774          0.00      1.57e-06      4.20e-06     75869.5      1.23e-21         3.62         7.38
1234.5033          0.00      1.57e-06      4.20e-06     75856.0      1.22e-21         3.62         7.38
1234.5291          0.00      1.56e-06      4.20e-06     75842.5      1.22e-21         3.62         7.38
1234.5549          0.00      1.56e-06      4.20e-06     75829.0      1.22e-21         3.62         7.38
1234.5807          0.00      1.56e-06      4.20e-06     75815.6      1.22e-21         3.62         7.38
1234.6066          0.00      1.55e-06      4.20e-06     75802.0      1.22e-21         3.62         7.38
1234.6323          0.00      1.55e-06      4.20e-06     75788.6      1.22e-21         3.62         7.38
1234.6581          0.00      1.54e-06      4.20e-06     75775.1      1.22e-21         3.62         7.37
1234.6840          0.00      1.54e-06      4.20e-06     75761.6      1.22e-21         3.62         7.37
1234.7097          0.00      1.53e-06      4.20e-06     75748.2      1.22e-21         3.62         7.37
1234.7356          0.00      1.53e-06      4.20e-06     75734.6      1.22e-21         3.62         7.37
1234.7614          0.00      1.52e-06      4.20e-06     75721.2      1.22e-21         3.62         7.37
1234.7871          0.00      1.52e-06      4.20e-06     75707.7      1.22e-21         3.61         7.37
1234.8130          0.00      1.52e-06      4.20e-06     75694.2      1.22e-21         3.61         7.37
1234.8387          0.00      1.51e-06      4.20e-06     75680.7      1.21e-21         3.61         7.36
1234.8646          0.00      1.51e-06      4.20e-06     75667.2      1.21e-21         3.61         7.36
1234.8904          0.00      1.50e-06      4.20e-06     75653.8      1.21e-21         3.61         7.36
1234.9161          0.00      1.50e-06      4.20e-06     75640.3      1.21e-21         3.61         7.36
1234.9420          0.00      1.49e-06      4.20e-06     75626.8      1.21e-21         3.61         7.36
1234.9678          0.00      1.49e-06      4.20e-06     75613.3      1.21e-21         3.61         7.36
1234.9937          0.00      1.49e-06      4.20e-06     75599.8      1.21e-21         3.61         7.36
1235.0194          0.00      1.48e-06      4.20e-06     75586.4      1.21e-21         3.61         7.36
1235.0452          0.00      1.48e-06      4.20e-06     75572.9      1.21e-21         3.61         7.35
1235.0710          0.00      1.47e-06      4.20e-06     75559.4      1.21e-21         3.61         7.35
1235.0968          0.00      1.47e-06      4.20e-06     75545.9      1.21e-21         3.61         7.35
1235.1227          0.00      1.47e-06      4.20e-06     75532.4      1.21e-21         3.61         7.35
1235.1484          0.00      1.46e-06      4.20e-06     75519.0      1.21e-21         3.61         7.35
1235.1742          0.00      1.46e-06      4.20e-06     75505.5      1.21e-21         3.61         7.35
1235.2001          0.00      1.45e-06      4.20e-06     75492.0      1.21e-21         3.61         7.35
1235.2258          0.00      1.45e-06      4.20e-06     75478.5      1.20e-21         3.61         7.34
1235.2517          0.00      1.44e-06      4.20e-06     75465.0      1.20e-21         3.61         7.34
1235.2775          0.00      1.44e-06      4.20e-06     75451.5      1.20e-21         3.60         7.34
1235.3032          0.00      1.44e-06      4.20e-06     75438.1      1.20e-21         3.60         7.34
1235.3291          0.00      1.43e-06      4.20e-06     75424.6      1.20e-21         3.60         7.34
1235.3549          0.00      1.43e-06      4.20e-06     75411.1      1.20e-21         3.60         7.34
1235.3807          0.00      1.42e-06      4.20e-06     75397.6      1.20e-21         3.60         7.34
1235.4065          0.00      1.42e-06      4.20e-06     75384.1      1.20e-21         3.60         7.33
1235.4324          0.00      1.42e-06      4.20e-06     75370.6      1.20e-21         3.60         7.33
1235.4581          0.00      1.41e-06      4.20e-06     75357.2      1.20e-21         3.60         7.33
1235.4839          0.00      1.41e-06      4.20e-06     75343.7      1.20e-21         3.60         7.33
1235.5098          0.00      1.41e-06      4.20e-06     75330.2      1.20e-21         3.60         7.33
1235.5355          0.00      1.40e-06      4.20e-06     75316.7      1.20e-21         3.60         7.33
1235.5614          0.00      1.40e-06      4.20e-06     75303.2      1.20e-21         3.60         7.33
1235.5872          0.00      1.39e-06      4.20e-06     75289.7      1.20e-21         3.60         7.33
1235.6129          0.00      1.39e-06      4.20e-06     75276.3      1.19e-21         3.60         7.32
1235.6388          0.00      1.39e-06      4.20e-06     75262.8      1.19e-21         3.60         7.32
1235.6646          0.00      1.38e-06      4.20e-06     75249.3      1.19e-21         3.60         7.32
1235.6904          0.00      1.38e-06      4.20e-06     75235.8      1.19e-21         3.60         7.32
1235.7162          0.00      1.37e-06      4.20e-06     75222.3      1.19e-21         3.60         7.32
1235.7419          0.00      1.37e-06      4.20e-06     75208.9      1.19e-21         3.60         7.32
1235.7678          0.00      1.37e-06      4.20e-06     75195.4      1.19e-21         3.59         7.32
1235.7936          0.00      1.36e-06      4.20e-06     75181.9      1.19e-21         3.59         7.31
1235.8195          0.00      1.36e-06      4.20e-06     75168.4      1.19e-21         3.59         7.31
1235.8452          0.00      1.36e-06      4.20e-06     75154.9      1.19e-21         3.59         7.31
1235.8710          0.00      1.35e-06      4.20e-06     75141.5      1.19e-21         3.59         7.31
1235.8969          0.00      1.35e-06      4.20e-06     75127.9      1.19e-21         3.59         7.31
1235.9226          0.00      1.34e-06      4.20e-06     75114.5      1.19e-21         3.59         7.31
1235.9485          0.00      1.34e-06      4.20e-06     75101.0      1.19e-21         3.59         7.31
1235.9742          0.00      1.34e-06      4.20e-06     75087.5      1.19e-21         3.59         7.30
1236.0000          0.00      1.33e-06      4.20e-06     75074.1      1.19e-21         3.59         7.30
1236.0259          0.00      1.33e-06      4.20e-06     75060.5      1.18e-21         3.59         7.30
1236.0516          0.00      1.33e-06      4.20e-06     75047.1      1.18e-21         3.59         7.30
1236.0775          0.00      1.32e-06      4.20e-06     75033.6      1.18e-21         3.59         7.30
1236.1033          0.00      1.32e-06      4.20e-06     75020.1      1.18e-21         3.59         7.30
1236.1290          0.00      1.32e-06      4.20e-06     75006.6      1.18e-21         3.59         7.30
1236.1549          0.00      1.31e-06      4.20e-06     74993.1      1.18e-21         3.59         7.29
1236.1807          0.00      1.31e-06      4.20e-06     74979.7      1.18e-21         3.59         7.29
1236.2065          0.00      1.31e-06      4.20e-06     74966.2      1.18e-21         3.59         7.29
1236.2323          0.00      1.30e-06      4.20e-06     74952.7      1.18e-21         3.59         7.29
1236.2582          0.00      1.30e-06      4.20e-06     74939.2      1.18e-21         3.59         7.29
1236.2839          0.00      1.30e-06      4.20e-06     74925.7      1.18e-21         3.58         7.29
