#Wavelength    ReadNoise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
#(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
1534.1936          0.00      1.59e-09      4.20e-06     17791.9      3.06e-21         3.18         6.53
1534.2194          0.00      1.59e-09      4.20e-06     17791.5      3.06e-21         3.18         6.53
1534.2452          0.00      1.59e-09      4.20e-06     17791.0      3.06e-21         3.18         6.53
1534.2710          0.00      1.59e-09      4.20e-06     17790.6      3.06e-21         3.18         6.53
1534.2969          0.00      1.59e-09      4.20e-06     17790.1      3.06e-21         3.18         6.53
1534.3226          0.00      1.59e-09      4.20e-06     17789.7      3.06e-21         3.18         6.53
1534.3484          0.00      1.59e-09      4.20e-06     17789.2      3.06e-21         3.18         6.53
1534.3743          0.00      1.59e-09      4.20e-06     17788.8      3.06e-21         3.18         6.52
1534.4000          0.00      1.59e-09      4.20e-06     17788.3      3.06e-21         3.18         6.52
1534.4259          0.00      1.59e-09      4.20e-06     17787.9      3.06e-21         3.18         6.52
1534.4517          0.00      1.59e-09      4.20e-06     17787.4      3.06e-21         3.18         6.52
1534.4774          0.00      1.59e-09      4.20e-06     17787.0      3.06e-21         3.18         6.52
1534.5033          0.00      1.59e-09      4.20e-06     17786.5      3.06e-21         3.18         6.52
1534.5291          0.00      1.59e-09      4.20e-06     17786.1      3.06e-21         3.18         6.52
1534.5549          0.00      1.59e-09      4.20e-06     17785.6      3.06e-21         3.18         6.51
1534.5807          0.00      1.59e-09      4.20e-06     17785.2      3.06e-21         3.18         6.51
1534.6066          0.00      1.59e-09      4.20e-06     17784.7      3.06e-21         3.18         6.51
1534.6323          0.00      1.59e-09      4.20e-06     17784.3      3.06e-21         3.18         6.51
1534.6581          0.00      1.59e-09      4.20e-06     17783.8      3.06e-21         3.18         6.51
1534.6840          0.00      1.59e-09      4.20e-06     17783.4      3.06e-21         3.18         6.51
1534.7097          0.00      1.59e-09      4.20e-06     17782.9      3.06e-21         3.18         6.51
1534.7356          0.00      1.59e-09      4.20e-06     17782.5      3.06e-21         3.18         6.51
1534.7614          0.00      1.59e-09      4.20e-06     17782.0      3.06e-21         3.17         6.50
1534.7871          0.00      1.59e-09      4.20e-06     17781.6      3.06e-21         3.17         6.50
1534.8130          0.00      1.59e-09      4.20e-06     17781.1      3.06e-21         3.17         6.50
1534.8387          0.00      1.59e-09      4.20e-06     17780.7      3.06e-21         3.17         6.50
1534.8646          0.00      1.59e-09      4.20e-06     17780.2      3.06e-21         3.17         6.50
1534.8904          0.00      1.59e-09      4.20e-06     17779.8      3.06e-21         3.17         6.50
1534.9161          0.00      1.59e-09      4.20e-06     17779.3      3.06e-21         3.17         6.50
