#Wavelength    ReadNoise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
#(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
2004.7968          9.00      4.99e-10      1.39e-06     20278.2      6.79e-22         1.63         1.74
2004.8663          9.00      5.00e-10      1.39e-06     20293.6      6.79e-22         1.63         1.73
2004.9358          9.00      5.02e-10      1.39e-06     20309.0      6.78e-22         1.63         1.73
2005.0054          9.00      5.03e-10      1.39e-06     20324.4      6.78e-22         1.63         1.73
2005.0748          9.00      5.04e-10      1.39e-06     20339.9      6.77e-22         1.63         1.73
2005.1444          9.00      5.05e-10      1.39e-06     20355.4      6.77e-22         1.63         1.73
2005.2139          9.00      5.07e-10      1.39e-06     20371.0      6.76e-22         1.63         1.73
2005.2834          9.00      5.08e-10      1.39e-06     20386.5      6.76e-22         1.63         1.73
2005.3529          9.00      5.09e-10      1.39e-06     20402.0      6.75e-22         1.63         1.73
2005.4225          9.00      5.11e-10      1.39e-06     20417.5      6.75e-22         1.63         1.73
2005.4919          9.00      5.12e-10      1.39e-06     20433.1      6.74e-22         1.63         1.73
2005.5615          9.00      5.13e-10      1.39e-06     20448.6      6.73e-22         1.63         1.73
2005.6310          9.00      5.14e-10      1.39e-06     20464.1      6.73e-22         1.63         1.73
2005.7006          9.00      5.16e-10      1.39e-06     20479.6      6.72e-22         1.63         1.73
2005.7700          9.00      5.17e-10      1.39e-06     20495.1      6.72e-22         1.63         1.73
2005.8396          9.00      5.18e-10      1.39e-06     20510.7      6.71e-22         1.63         1.73
2005.9091          9.00      5.19e-10      1.39e-06     20526.2      6.71e-22         1.63         1.73
2005.9786          9.00      5.21e-10      1.39e-06     20541.7      6.70e-22         1.63         1.73
2006.0481          9.00      5.22e-10      1.39e-06     20557.3      6.70e-22         1.63         1.73
2006.1177          9.00      5.23e-10      1.39e-06     20573.0      6.69e-22         1.63         1.73
2006.1871          9.00      5.25e-10      1.39e-06     20588.6      6.69e-22         1.63         1.73
2006.2567          9.00      5.26e-10      1.39e-06     20604.3      6.68e-22         1.63         1.73
2006.3262          9.00      5.27e-10      1.39e-06     20620.0      6.68e-22         1.63         1.73
2006.3958          9.00      5.29e-10      1.39e-06     20635.6      6.67e-22         1.63         1.73
2006.4652          9.00      5.30e-10      1.39e-06     20651.3      6.67e-22         1.63         1.73
2006.5348          9.00      5.31e-10      1.39e-06     20666.9      6.66e-22         1.62         1.73
2006.6042          9.00      5.32e-10      1.39e-06     20682.6      6.65e-22         1.62         1.73
2006.6738          9.00      5.34e-10      1.39e-06     20698.2      6.65e-22         1.62         1.73
2006.7433          9.00      5.35e-10      1.39e-06     20713.9      6.64e-22         1.62         1.73
2006.8129          9.00      5.36e-10      1.39e-06     20729.6      6.64e-22         1.62         1.73
2006.8823          9.00      5.37e-10      1.39e-06     20745.2      6.63e-22         1.62         1.73
2006.9519          9.00      5.39e-10      1.39e-06     20760.9      6.63e-22         1.62         1.73
2007.0214          9.00      5.40e-10      1.39e-06     20776.5      6.62e-22         1.62         1.73
2007.0909          9.00      5.41e-10      1.39e-06     20792.3      6.62e-22         1.62         1.73
2007.1604          9.00      5.43e-10      1.39e-06     20808.1      6.61e-22         1.62         1.73
2007.2300          9.00      5.44e-10      1.39e-06     20823.9      6.61e-22         1.62         1.73
2007.2994          9.00      5.45e-10      1.39e-06     20839.7      6.60e-22         1.62         1.73
2007.3690          9.00      5.46e-10      1.39e-06     20855.5      6.60e-22         1.62         1.72
2007.4385          9.00      5.48e-10      1.39e-06     20871.2      6.59e-22         1.62         1.72
2007.5081          9.00      5.49e-10      1.39e-06     20887.0      6.59e-22         1.62         1.72
