  K    WAVELN    NEFF       GEOM ALB   BOND/QFIT  BOND/GEOM  Q-FITTED
   1  0.3500000    0.0556723    0.5861763    0.4183256    1.4178547    1.9867605
   2  0.3504660    0.0541684    0.5867418    0.4187447    1.4174637    1.9861394
   3  0.3509320    0.0526644    0.5872273    0.4191239    1.4171316    1.9855190
   4  0.3514000    0.0501858    0.5876498    0.4194723    1.4168460    1.9848968
   5  0.3518670    0.0475482    0.5880172    0.4197930    1.4166006    1.9842768
   6  0.3523360    0.0535745    0.5883398    0.4200920    1.4163881    1.9836549
   7  0.3528050    0.0630348    0.5886217    0.4203706    1.4162052    1.9830337
   8  0.3532740    0.0607780    0.5888668    0.4206309    1.4160490    1.9824134
   9  0.3537450    0.0501374    0.5890779    0.4208747    1.4159175    1.9817912
  10  0.3542160    0.0487334    0.5892534    0.4211006    1.4158117    1.9811699
  11  0.3546870    0.0582341    0.5893893    0.4213066    1.4157339    1.9805493
  12  0.3551590    0.0637779    0.5894832    0.4214917    1.4156862    1.9799282
  13  0.3556320    0.0614881    0.5895171    0.4216469    1.4156814    1.9793066
  14  0.3561050    0.0588594    0.5894599    0.4217557    1.4157400    1.9786858
  15  0.3565800    0.0550268    0.5892032    0.4217623    1.4159335    1.9780632
  16  0.3570540    0.0512895    0.5887341    0.4216628    1.4162828    1.9774427
  17  0.3575300    0.0482171    0.5875826    0.4212261    1.4171427    1.9768204
  18  0.3580050    0.0452035    0.5836997    0.4194064    1.4199614    1.9762003
  19  0.3584820    0.0471278    0.5609614    0.4080086    1.4369133    1.9755783
  20  0.3589590    0.0490522    0.5585731    0.4069030    1.4386942    1.9749571
  21  0.3594370    0.0601479    0.5763254    0.4160859    1.4253983    1.9743355
  22  0.3599160    0.0721287    0.5860250    0.4211236    1.4183307    1.9737133
  23  0.3603950    0.0691305    0.5880047    0.4222528    1.4168997    1.9730920
  24  0.3608740    0.0629468    0.5888351    0.4228270    1.4163799    1.9724715
  25  0.3613550    0.0584559    0.5889507    0.4230183    1.4162954    1.9718492
  26  0.3618360    0.0545750    0.5896238    0.4235045    1.4158585    1.9712278
  27  0.3623170    0.0517172    0.5897594    0.4236857    1.4156926    1.9706071
  28  0.3628000    0.0493789    0.5900874    0.4240215    1.4155799    1.9699847
  29  0.3632830    0.0522924    0.5900196    0.4241140    1.4156044    1.9693631
  30  0.3637660    0.0589174    0.5901565    0.4243374    1.4155754    1.9687424
  31  0.3642510    0.0609120    0.5899661    0.4243536    1.4156385    1.9681199
  32  0.3647350    0.0585689    0.5900648    0.4245683    1.4156715    1.9674995
  33  0.3652210    0.0576426    0.5899692    0.4246635    1.4157704    1.9668774
  34  0.3657070    0.0584269    0.5897259    0.4246760    1.4159489    1.9662561
  35  0.3661940    0.0578040    0.5897844    0.4248515    1.4159455    1.9656343
  36  0.3666810    0.0550535    0.5890884    0.4245689    1.4162281    1.9650134
  37  0.3671700    0.0544863    0.5895409    0.4250109    1.4161655    1.9643908
  38  0.3676580    0.0580299    0.5893571    0.4250569    1.4163129    1.9637702
  39  0.3681480    0.0606328    0.5891731    0.4251047    1.4164656    1.9631480
  40  0.3686380    0.0610282    0.5889502    0.4251304    1.4166388    1.9625266
  41  0.3691290    0.0610080    0.5886432    0.4251105    1.4168624    1.9619048
  42  0.3696200    0.0598195    0.5882155    0.4249909    1.4170450    1.9612838
  43  0.3701120    0.0583575    0.5880369    0.4250548    1.4172394    1.9606623
  44  0.3706050    0.0559709    0.5877922    0.4250890    1.4174936    1.9600405
  45  0.3710980    0.0547703    0.5870723    0.4248501    1.4179846    1.9594195
  46  0.3715920    0.0583575    0.5863545    0.4245340    1.4182142    1.9587980
  47  0.3720870    0.0610395    0.5868086    0.4250083    1.4182499    1.9581762
  48  0.3725820    0.0594419    0.5860158    0.4247061    1.4187084    1.9575552
  49  0.3730780    0.0587222    0.5863429    0.4250616    1.4186532    1.9569338
  50  0.3735750    0.0627322    0.5853107    0.4245947    1.4191434    1.9563120
  51  0.3740720    0.0655804    0.5850906    0.4246755    1.4194965    1.9556910
  52  0.3745700    0.0615623    0.5845469    0.4245444    1.4199271    1.9550696
  53  0.3750680    0.0583123    0.5844925    0.4246707    1.4200305    1.9544491
  54  0.3755680    0.0599260    0.5796893    0.4218734    1.4219127    1.9538269
  55  0.3760680    0.0611556    0.5832045    0.4242763    1.4209402    1.9532056
  56  0.3765680    0.0599454    0.5808269    0.4230182    1.4220745    1.9525851
  57  0.3770700    0.0589562    0.5827109    0.4243343    1.4214338    1.9519630
  58  0.3775720    0.0593612    0.5812028    0.4236291    1.4223007    1.9513418
  59  0.3780740    0.0597065    0.5814443    0.4239623    1.4223757    1.9507214
  60  0.3785770    0.0597065    0.5808790    0.4238218    1.4228351    1.9501006
  61  0.3790810    0.0599680    0.5790666    0.4228547    1.4235781    1.9494795
  62  0.3795860    0.0615978    0.5789565    0.4230554    1.4240707    1.9488580
  63  0.3800910    0.0627871    0.5785789    0.4230535    1.4245397    1.9482373
  64  0.3805970    0.0619706    0.5776979    0.4227346    1.4251823    1.9476163
  65  0.3811040    0.0616559    0.5754785    0.4216306    1.4264870    1.9469949
