  K    WAVELN    NEFF       GEOM ALB   BOND/QFIT  BOND/GEOM  Q-FITTED
  66  0.3816110    0.0632922    0.5761889    0.4222423    1.4263405    1.9463744
  67  0.3821190    0.0635875    0.5734279    0.4208084    1.4278856    1.9457535
  68  0.3826280    0.0594806    0.5743993    0.4216108    1.4277330    1.9451323
  69  0.3831370    0.0579162    0.5721640    0.4204948    1.4290609    1.9445119
  70  0.3836470    0.0632655    0.5726190    0.4209771    1.4291068    1.9438912
  71  0.3841580    0.0662033    0.5701535    0.4196661    1.4303596    1.9432701
  72  0.3846690    0.0637295    0.5707794    0.4203273    1.4305856    1.9426499
  73  0.3851810    0.0624192    0.5694904    0.4197952    1.4315510    1.9420293
  74  0.3856940    0.0632470    0.5682152    0.4192767    1.4325335    1.9414084
  75  0.3862080    0.0632373    0.5668153    0.4186895    1.4336013    1.9407872
  76  0.3867220    0.0619931    0.5654182    0.4181072    1.4346862    1.9401669
  77  0.3872360    0.0615106    0.5631506    0.4170492    1.4363596    1.9395474
  78  0.3877520    0.0619270    0.5594610    0.4152741    1.4392175    1.9389264
  79  0.3882680    0.0627758    0.5601684    0.4157677    1.4386478    1.9383062
  80  0.3887850    0.0640272    0.5579676    0.4147532    1.4403369    1.9376858
  81  0.3893030    0.0645476    0.5571089    0.4144583    1.4410697    1.9370650
  82  0.3898210    0.0645476    0.5540091    0.4126862    1.4424750    1.9364451
  83  0.3903400    0.0653706    0.5533564    0.4127733    1.4440186    1.9358249
  84  0.3908590    0.0666269    0.5508080    0.4115316    1.4458728    1.9352056
  85  0.3913800    0.0663549    0.5482293    0.4102261    1.4476007    1.9345848
  86  0.3919010    0.0655142    0.5464173    0.4095162    1.4494232    1.9339648
  87  0.3924220    0.0653545    0.5436438    0.4081611    1.4515323    1.9333457
  88  0.3929450    0.0653545    0.5408243    0.4067387    1.4535480    1.9327252
  89  0.3934680    0.0653545    0.5391089    0.4061061    1.4554385    1.9321055
  90  0.3939920    0.0653545    0.5354441    0.4042155    1.4581100    1.9314856
  91  0.3945160    0.0661871    0.5326493    0.4028956    1.4605062    1.9308665
  92  0.3950410    0.0670343    0.5278977    0.4002462    1.4634921    1.9302472
  93  0.3955670    0.0678831    0.5260082    0.3996173    1.4659707    1.9296275
  94  0.3960940    0.0682026    0.5230478    0.3982222    1.4686493    1.9290076
  95  0.3966210    0.0660766    0.5174288    0.3951186    1.4725546    1.9283886
  96  0.3971490    0.0651487    0.5149903    0.3941176    1.4753053    1.9277693
  97  0.3976780    0.0672828    0.5110525    0.3921421    1.4787456    1.9271497
  98  0.3982070    0.0682478    0.5063540    0.3896674    1.4825722    1.9265310
  99  0.3987370    0.0673926    0.5024597    0.3877545    1.4862503    1.9259120
 100  0.3992680    0.0680493    0.4965359    0.3844234    1.4905823    1.9252928
 101  0.3997990    0.0701915    0.4918950    0.3821588    1.4953015    1.9246745
 102  0.4003320    0.0701988    0.4857889    0.3787662    1.5001719    1.9240547
 103  0.4008640    0.0689110    0.4803402    0.3760947    1.5060044    1.9234370
 104  0.4013980    0.0689030    0.4729004    0.3718919    1.5121162    1.9228179
 105  0.4019320    0.0693338    0.4654563    0.3679332    1.5194576    1.9221997
 106  0.4024670    0.0693887    0.4548474    0.3617860    1.5284276    1.9215813
 107  0.4030030    0.0693959    0.4435253    0.3554010    1.5392854    1.9209626
 108  0.4035400    0.0706958    0.4249475    0.3443039    1.5559143    1.9203436
 109  0.4040770    0.0717471    0.3958453    0.3267309    1.5845427    1.9197256
 110  0.4046150    0.0713130    0.3746308    0.3126013    1.6013513    1.9191073
 111  0.4051530    0.0710024    0.4042752    0.3320954    1.5759603    1.9184900
 112  0.4056930    0.0710024    0.4284587    0.3469029    1.5528103    1.9178712
 113  0.4062330    0.0710024    0.4418374    0.3550321    1.5405813    1.9172534
 114  0.4067730    0.0710024    0.4513449    0.3607997    1.5321362    1.9166365
 115  0.4073150    0.0712565    0.4586093    0.3651540    1.5255725    1.9160182
 116  0.4078570    0.0716938    0.4647862    0.3688779    1.5201591    1.9154009
 117  0.4084000    0.0721320    0.4697112    0.3717992    1.5156436    1.9147833
 118  0.4089440    0.0725709    0.4740785    0.3743993    1.5116953    1.9141655
 119  0.4094880    0.0714348    0.4781312    0.3768136    1.5080613    1.9135486
 120  0.4100330    0.0702488    0.4816230    0.3788839    1.5048678    1.9129315
 121  0.4105790    0.0711299    0.4845931    0.3806312    1.5020573    1.9123142
 122  0.4111260    0.0720125    0.4871213    0.3821178    1.4996126    1.9116967
 123  0.4116730    0.0728952    0.4906712    0.3842638    1.4966416    1.9110801
 124  0.4122210    0.0734229    0.4927163    0.3854667    1.4946126    1.9104633
 125  0.4127700    0.0734229    0.4951761    0.3869170    1.4923014    1.9098464
 126  0.4133190    0.0734229    0.4975214    0.3883191    1.4901683    1.9092303
 127  0.4138690    0.0734229    0.4971212    0.3878561    1.4891088    1.9086141
 128  0.4144200    0.0737618    0.4946628    0.3853921    1.4865221    1.9079976
 129  0.4149720    0.0742072    0.5031701    0.3917820    1.4851392    1.9073810
 130  0.4155240    0.0746525    0.5040207    0.3922452    1.4839065    1.9067653
 131  0.4160770    0.0750366    0.4511354    0.3465759    1.4643617    1.9061495
 132  0.4166310    0.0750366    0.5026823    0.3912326    1.4830577    1.9055334
 133  0.4171860    0.0751867    0.5064861    0.3939079    1.4815057    1.9049172
 134  0.4177410    0.0756345    0.4987346    0.3883872    1.4829662    1.9043019
 135  0.4182970    0.0760831    0.5056295    0.3937298    1.4823859    1.9036864
 136  0.4188540    0.0765325    0.5000839    0.3906596    1.4866565    1.9030708
 137  0.4194120    0.0766503    0.4835367    0.3812502    1.5000128    1.9024550
 138  0.4199700    0.0766503    0.4264124    0.3476831    1.5507000    1.9018402
 139  0.4205290    0.0770771    0.4503114    0.3624409    1.5302336    1.9012251
 140  0.4210890    0.0775289    0.4751132    0.3770218    1.5082119    1.9006100
 141  0.4216500    0.0779816    0.4163312    0.3416491    1.5591710    1.8999947
 142  0.4222110    0.0782640    0.4951370    0.3887180    1.4911497    1.8993803
 143  0.4227730    0.0782640    0.5070097    0.3953500    1.4805971    1.8987658
 144  0.4233360    0.0782640    0.5069753    0.3944373    1.4768011    1.8981511
 145  0.4238990    0.0782640    0.5055985    0.3933061    1.4760980    1.8975374
 146  0.4244630    0.0782640    0.5132163    0.3983380    1.4723160    1.8969235
 147  0.4250290    0.0782874    0.5086073    0.3952843    1.4737911    1.8963084
 148  0.4255940    0.0787432    0.5153014    0.4000698    1.4717804    1.8956954
 149  0.4261610    0.0790708    0.5166778    0.4006496    1.4695104    1.8950811
 150  0.4267280    0.0790708    0.5239451    0.4057196    1.4669911    1.8944678
 151  0.4272960    0.0793097    0.5171884    0.4013718    1.4697539    1.8938543
 152  0.4278650    0.0797687    0.5222503    0.4045777    1.4666589    1.8932408
 153  0.4284350    0.0802287    0.5219763    0.4045109    1.4667107    1.8926271
 154  0.4290050    0.0806805    0.5251542    0.4068659    1.4658478    1.8920144
 155  0.4295760    0.0802198    0.5197731    0.4034718    1.4681929    1.8914015
 156  0.4301480    0.0798777    0.5235902    0.4057274    1.4651627    1.8907886
 157  0.4307200    0.0798777    0.5261882    0.4077885    1.4648603    1.8901766
 158  0.4312940    0.0805893    0.5252147    0.4070492    1.4644397    1.8895634
 159  0.4318680    0.0819787    0.5287324    0.4095039    1.4629952    1.8889512
 160  0.4324430    0.0826556    0.5285143    0.4094944    1.4630904    1.8883389
 161  0.4330180    0.0830905    0.5277230    0.4090835    1.4633400    1.8877275
 162  0.4335950    0.0826250    0.5292364    0.4101543    1.4625002    1.8871150
 163  0.4341720    0.0825758    0.5290244    0.4101170    1.4624791    1.8865035
 164  0.4347500    0.0835085    0.5285654    0.4099653    1.4627334    1.8858919
 165  0.4353290    0.0841774    0.5303070    0.4111654    1.4617233    1.8852801
 166  0.4359080    0.0846445    0.5189995    0.4029761    1.4633475    1.8846694
 167  0.4364890    0.0847187    0.5290799    0.4105755    1.4620624    1.8840575
 168  0.4370700    0.0848317    0.5301094    0.4113475    1.4614926    1.8834466
 169  0.4376510    0.0857693    0.5275733    0.4098390    1.4626590    1.8828367
 170  0.4382340    0.0861436    0.5297474    0.4113967    1.4617185    1.8822256
 171  0.4388170    0.0856732    0.5260684    0.4090205    1.4629646    1.8816155
 172  0.4394020    0.0861743    0.5256579    0.4089700    1.4634505    1.8810043
 173  0.4399860    0.0871167    0.5261974    0.4093324    1.4627716    1.8803951
 174  0.4405720    0.0871393    0.5057021    0.3940787    1.4648609    1.8797848
 175  0.4411590    0.0872676    0.5236216    0.4077248    1.4632436    1.8791745
 176  0.4417460    0.0877412    0.5149019    0.4019651    1.4665273    1.8785651
 177  0.4423340    0.0882156    0.5132915    0.4013071    1.4682435    1.8779557
 178  0.4429230    0.0886908    0.5198049    0.4055488    1.4646945    1.8773462
 179  0.4435120    0.0891661    0.5288346    0.4119442    1.4619152    1.8767377
 180  0.4441030    0.0896429    0.5261728    0.4102402    1.4627575    1.8761282
 181  0.4446940    0.0901198    0.5088013    0.3977717    1.4662476    1.8755196
 182  0.4452860    0.0901359    0.5129849    0.4021827    1.4699392    1.8749110
 183  0.4458790    0.0896574    0.5228327    0.4088732    1.4657692    1.8743023
 184  0.4464720    0.0903215    0.4899630    0.3820997    1.4612087    1.8736946
 185  0.4470670    0.0911735    0.5277843    0.4121762    1.4627972    1.8730859
 186  0.4476620    0.0911735    0.5277292    0.4123290    1.4630174    1.8724781
 187  0.4482580    0.0913817    0.5274831    0.4123912    1.4634458    1.8718703
 188  0.4488540    0.0918626    0.5245209    0.4103266    1.4638676    1.8712636
 189  0.4494520    0.0923450    0.5269108    0.4122516    1.4635890    1.8706557
 190  0.4500500    0.0928275    0.5235941    0.4101970    1.4650439    1.8700489
 191  0.4506490    0.0933108    0.5251461    0.4114850    1.4648255    1.8694421
 192  0.4512490    0.0937949    0.5236082    0.4106523    1.4656788    1.8688352
 193  0.4518500    0.0942799    0.5249935    0.4116524    1.4648956    1.8682283
 194  0.4524510    0.0944009    0.5223726    0.4101595    1.4664306    1.8676224
 195  0.4530540    0.0944880    0.5227140    0.4104428    1.4660084    1.8670156
 196  0.4536570    0.0954611    0.5247314    0.4119552    1.4652779    1.8664097
 197  0.4542610    0.0960146    0.5212271    0.4100050    1.4676691    1.8658038
 198  0.4548650    0.0960146    0.5197928    0.4094485    1.4692448    1.8651989
 199  0.4554710    0.0963946    0.4453690    0.3654566    1.5300298    1.8645930
 200  0.4560770    0.0968835    0.5157591    0.4073085    1.4720404    1.8639881
 201  0.4566840    0.0973733    0.5072188    0.4002501    1.4704093    1.8633832
 202  0.4572920    0.0978639    0.5171539    0.4078333    1.4690079    1.8627784
 203  0.4579010    0.0983552    0.5187125    0.4090346    1.4684307    1.8621735
 204  0.4585100    0.0984351    0.5110305    0.4036301    1.4703342    1.8615697
 205  0.4591210    0.0985327    0.5102077    0.4044565    1.4752411    1.8609649
 206  0.4597320    0.0990257    0.5123187    0.4055049    1.4724925    1.8603611
 207  0.4603440    0.0995195    0.5161237    0.4081093    1.4705470    1.8597573
 208  0.4609570    0.1000141    0.5160008    0.4081723    1.4706466    1.8591535
 209  0.4615700    0.1005087    0.5186797    0.4102622    1.4700654    1.8585508
 210  0.4621850    0.1010049    0.5176089    0.4097337    1.4707310    1.8579471
 211  0.4628000    0.1015011    0.5172264    0.4097258    1.4713131    1.8573445
 212  0.4634160    0.1019981    0.5146249    0.4080109    1.4720836    1.8567418
 213  0.4640330    0.1024960    0.5161782    0.4094466    1.4723404    1.8561392
 214  0.4646510    0.1029946    0.5146886    0.4086190    1.4731383    1.8555367
 215  0.4652690    0.1032762    0.5132770    0.4078984    1.4741067    1.8549352
 216  0.4658890    0.1032762    0.5102262    0.4061298    1.4760115    1.8543327
 217  0.4665090    0.1036869    0.4990931    0.3986333    1.4806034    1.8537313
 218  0.4671300    0.1041879    0.5061693    0.4039082    1.4787431    1.8531299
 219  0.4677520    0.1046898    0.4845292    0.3891449    1.4878403    1.8525286
 220  0.4683740    0.1051916    0.4888828    0.3929648    1.4885831    1.8519283
 221  0.4689980    0.1056951    0.4799583    0.3856245    1.4874565    1.8513271
 222  0.4696220    0.1061986    0.4691579    0.3769395    1.4869452    1.8507269
 223  0.4702470    0.1065036    0.4950301    0.3974747    1.4855229    1.8501268
 224  0.4708730    0.1065036    0.4936035    0.3967884    1.4867616    1.8495268
 225  0.4715000    0.1069070    0.4877573    0.3920374    1.4860844    1.8489268
 226  0.4721280    0.1075170    0.4703064    0.3805407    1.4955435    1.8483269
 227  0.4727560    0.1085304    0.4829258    0.3903122    1.4933780    1.8477281
 228  0.4733860    0.1089241    0.4564281    0.3682861    1.4904247    1.8471283
 229  0.4740160    0.1089499    0.4863052    0.3927953    1.4914671    1.8465296
 230  0.4746470    0.1099682    0.4837889    0.3913743    1.4933163    1.8459310
 231  0.4752790    0.1105378    0.4838767    0.3916108    1.4934634    1.8453325
 232  0.4759110    0.1105378    0.4839313    0.3922145    1.4951128    1.8447350
 233  0.4765450    0.1109775    0.4810286    0.3903502    1.4964999    1.8441367
 234  0.4771790    0.1116335    0.4678267    0.3808618    1.5008417    1.8435394
 235  0.4778140    0.1126582    0.4800970    0.3900935    1.4974469    1.8429422
 236  0.4784500    0.1129583    0.4705110    0.3840146    1.5036573    1.8423451
 237  0.4790870    0.1130285    0.4741974    0.3863462    1.5005405    1.8417481
 238  0.4797250    0.1135433    0.4714236    0.3846884    1.5024059    1.8411512
 239  0.4803640    0.1137652    0.4705607    0.3844278    1.5036536    1.8405544
 240  0.4810030    0.1137700    0.4648905    0.3809103    1.5075792    1.8399586
 241  0.4816430    0.1148028    0.4680496    0.3829859    1.5050760    1.8393630
 242  0.4822850    0.1153789    0.4617089    0.3788586    1.5088132    1.8387666
 243  0.4829270    0.1153789    0.4414971    0.3640730    1.5158163    1.8381712
 244  0.4835690    0.1158380    0.3233947    0.2630645    1.4947718    1.8375768
 245  0.4842130    0.1163576    0.4269439    0.3545461    1.5254808    1.8369817
 246  0.4848580    0.1168780    0.4250655    0.3522297    1.5217185    1.8363867
 247  0.4855030    0.1169926    0.3996184    0.3303705    1.5176774    1.8357927
 248  0.4861490    0.1169926    0.4224838    0.3510333    1.5248300    1.8351988
 249  0.4867970    0.1169926    0.4030256    0.3328365    1.5150979    1.8346042
 250  0.4874450    0.1177106    0.4202296    0.3500521    1.5277346    1.8340107
 251  0.4880930    0.1186813    0.4403576    0.3668862    1.5275217    1.8334181
 252  0.4887430    0.1192057    0.4458286    0.3710249    1.5253028    1.8328248
 253  0.4893940    0.1197310    0.4268920    0.3566094    1.5305771    1.8322317
 254  0.4900450    0.1202562    0.4398424    0.3676766    1.5311187    1.8316396
 255  0.4906980    0.1207831    0.4314040    0.3615306    1.5344770    1.8310468
 256  0.4913510    0.1213100    0.3972110    0.3334720    1.5367285    1.8304550
 257  0.4920050    0.1218377    0.4280091    0.3600320    1.5392413    1.8298634
 258  0.4926600    0.1223661    0.4302686    0.3617208    1.5378434    1.8292719
 259  0.4933160    0.1226405    0.4302038    0.3624419    1.5406429    1.8286806
 260  0.4939720    0.1226405    0.4208368    0.3557636    1.5454159    1.8280903
 261  0.4946300    0.1236571    0.4282400    0.3615728    1.5429994    1.8274993
 262  0.4952880    0.1242542    0.4230093    0.3581224    1.5466734    1.8269094
 263  0.4959480    0.1242542    0.4173807    0.3540552    1.5492271    1.8263187
 264  0.4966080    0.1252353    0.4197077    0.3561607    1.5492996    1.8257292
 265  0.4972690    0.1260849    0.4084756    0.3474707    1.5525594    1.8251398
 266  0.4979310    0.1266190    0.4142397    0.3528659    1.5542248    1.8245505
 267  0.4985940    0.1266747    0.4090092    0.3488802    1.5558184    1.8239615
 268  0.4992570    0.1270894    0.4076987    0.3485326    1.5587618    1.8233735
 269  0.4999220    0.1281625    0.4030754    0.3452423    1.5612522    1.8227848
 270  0.5005880    0.1287628    0.3946663    0.3386383    1.5635119    1.8221963
 271  0.5012540    0.1293002    0.3924908    0.3373853    1.5658561    1.8216089
 272  0.5019210    0.1298383    0.3603274    0.3083274    1.5582243    1.8210217
 273  0.5025890    0.1299021    0.3729372    0.3222764    1.5731419    1.8204346
 274  0.5032580    0.1303184    0.3442339    0.2955086    1.5622536    1.8198478
 275  0.5039280    0.1313996    0.3411187    0.2947210    1.5718118    1.8192612
 276  0.5045990    0.1324824    0.3752650    0.3252280    1.5761767    1.8186747
 277  0.5052710    0.1333481    0.3716723    0.3221000    1.5755983    1.8180885
 278  0.5059430    0.1338903    0.3575171    0.3109988    1.5810192    1.8175033
 279  0.5066170    0.1344341    0.3706317    0.3228990    1.5829214    1.8169175
 280  0.5072910    0.1349779    0.3282068    0.2836172    1.5695690    1.8163328
 281  0.5079670    0.1355234    0.3485352    0.3043375    1.5854927    1.8157474
 282  0.5086430    0.1360688    0.3582074    0.3136446    1.5893476    1.8151631
 283  0.5093200    0.1366150    0.3068352    0.2658611    1.5722637    1.8145790
 284  0.5099980    0.1371621    0.3449850    0.3024659    1.5904218    1.8139952
 285  0.5106770    0.1377099    0.2857511    0.2451538    1.5557757    1.8134116
 286  0.5113570    0.1388347    0.3473575    0.3060355    1.5971724    1.8128282
 287  0.5120370    0.1403612    0.3471960    0.3064337    1.5994804    1.8122458
 288  0.5127190    0.1398109    0.3459778    0.3055449    1.5999418    1.8116629
 289  0.5134010    0.1399078    0.3415016    0.3022129    1.6027216    1.8110810
 290  0.5140850    0.1405282    0.3464781    0.3071431    1.6049560    1.8104986
 291  0.5147690    0.1416320    0.3467537    0.3080699    1.6080033    1.8099172
 292  0.5154550    0.1423719    0.3448462    0.3068482    1.6099678    1.8093352
 293  0.5161410    0.1428116    0.3376288    0.3005962    1.6103622    1.8087543
 294  0.5168280    0.1428116    0.3337854    0.2973925    1.6110269    1.8081737
 295  0.5175160    0.1444769    0.3398934    0.3037466    1.6153604    1.8075933
 296  0.5182050    0.1457082    0.3372334    0.3018854    1.6176064    1.8070131
 297  0.5188940    0.1445963    0.3355691    0.3008466    1.6195159    1.8064341
 298  0.5195850    0.1453693    0.3330331    0.2989871    1.6212417    1.8058544
 299  0.5202770    0.1458155    0.3288266    0.2956271    1.6230085    1.8052751
 300  0.5209690    0.1452571    0.3261986    0.2936532    1.6246387    1.8046968
 301  0.5216630    0.1468369    0.3205660    0.2890182    1.6265697    1.8041179
 302  0.5223570    0.1476527    0.3167947    0.2858216    1.6272075    1.8035402
 303  0.5230530    0.1476954    0.3180879    0.2876088    1.6302026    1.8029619
 304  0.5237490    0.1482570    0.3140365    0.2843679    1.6321039    1.8023847
 305  0.5244460    0.1491792    0.3086950    0.2796685    1.6323844    1.8018077
 306  0.5251440    0.1503056    0.3083077    0.2798660    1.6350655    1.8012311
 307  0.5258430    0.1514335    0.3097134    0.2816367    1.6374184    1.8006547
 308  0.5265430    0.1508107    0.3060101    0.2785956    1.6388149    1.8000786
 309  0.5272440    0.1506638    0.2871364    0.2600382    1.6296767    1.7995028
 310  0.5279460    0.1523630    0.3012437    0.2750047    1.6422369    1.7989272
 311  0.5286490    0.1530174    0.2967782    0.2709911    1.6420930    1.7983520
 312  0.5293530    0.1533006    0.2971266    0.2719284    1.6453140    1.7977770
 313  0.5300570    0.1533926    0.2949271    0.2702421    1.6467796    1.7972032
 314  0.5307630    0.1545318    0.2772801    0.2526682    1.6371561    1.7966288
 315  0.5314700    0.1556727    0.2860611    0.2623200    1.6469943    1.7960547
 316  0.5321770    0.1560995    0.2865268    0.2632087    1.6493621    1.7954818
 317  0.5328850    0.1543858    0.2839838    0.2611564    1.6506290    1.7949091
 318  0.5335950    0.1555476    0.2812568    0.2588145    1.6511609    1.7943360
 319  0.5343050    0.1565280    0.2795649    0.2575391    1.6524400    1.7937639
 320  0.5350160    0.1565538    0.2758122    0.2541446    1.6523205    1.7931922
 321  0.5357290    0.1577043    0.2740000    0.2527447    1.6535593    1.7926200
 322  0.5364420    0.1581417    0.2691187    0.2481689    1.6525453    1.7920489
 323  0.5371560    0.1581417    0.2653335    0.2447102    1.6522339    1.7914781
 324  0.5378710    0.1581417    0.2591070    0.2386150    1.6492697    1.7909076
 325  0.5385870    0.1590889    0.2562921    0.2361603    1.6497065    1.7903374
 326  0.5393040    0.1592648    0.2543299    0.2345406    1.6505063    1.7897676
 327  0.5400220    0.1581062    0.2453089    0.2256272    1.6456461    1.7891981
 328  0.5407410    0.1569459    0.2265499    0.2065832    1.6309902    1.7886289
 329  0.5414600    0.1568991    0.2299341    0.2105983    1.6376973    1.7880609
 330  0.5421810    0.1573348    0.2318571    0.2127437    1.6401387    1.7874923
 331  0.5429030    0.1573348    0.1965645    0.1767409    1.6067116    1.7869242
 332  0.5436260    0.1583450    0.2128463    0.1937612    1.6261814    1.7863563
 333  0.5443490    0.1600749    0.2153463    0.1966617    1.6308448    1.7857896
 334  0.5450740    0.1624744    0.2316112    0.2139169    1.6488380    1.7852225
 335  0.5458000    0.1654033    0.0920493    0.0743768    1.4420199    1.7846556
 336  0.5465260    0.1670589    0.2199631    0.2024313    1.6418916    1.7840900
 337  0.5472540    0.1682337    0.2368590    0.2205069    1.6603947    1.7835238
 338  0.5479820    0.1694084    0.2099655    0.1926312    1.6357623    1.7829589
 339  0.5487120    0.1705864    0.2350564    0.2192909    1.6628464    1.7823934
 340  0.5494420    0.1717644    0.1663391    0.1479832    1.5852002    1.7818292
 341  0.5501730    0.1726649    0.2013632    0.1852320    1.6385678    1.7812652
 342  0.5509060    0.1726649    0.2238772    0.2084568    1.6580479    1.7807009
 343  0.5516390    0.1726649    0.2347404    0.2203031    1.6706535    1.7801377
 344  0.5523730    0.1729658    0.2241551    0.2095346    1.6635021    1.7795749
 345  0.5531090    0.1735597    0.2260263    0.2117868    1.6669350    1.7790116
 346  0.5538450    0.1741535    0.2247674    0.2107094    1.6672168    1.7784495
 347  0.5545820    0.1747481    0.2222610    0.2083658    1.6667390    1.7778878
 348  0.5553210    0.1753444    0.2239024    0.2103847    1.6700228    1.7773257
 349  0.5560600    0.1759407    0.2219096    0.2085446    1.6697550    1.7767647
 350  0.5568000    0.1765377    0.2222697    0.2092455    1.6721245    1.7762041
 351  0.5575410    0.1766991    0.2135357    0.2002916    1.6655137    1.7756439
 352  0.5582830    0.1771558    0.2168780    0.2041089    1.6705725    1.7750841
 353  0.5590270    0.1783346    0.2184784    0.2060672    1.6737175    1.7745239
 354  0.5597710    0.1789349    0.2149191    0.2025470    1.6718440    1.7739648
 355  0.5605160    0.1795360    0.2130187    0.2007728    1.6714581    1.7734061
 356  0.5612620    0.1797151    0.2054738    0.1931114    1.6661837    1.7728478
